"day","location","date","month","year","hour","min","SUICIDE"
3,4,29,4,2015,14,4,1
4,1,16,4,2015,4,20,1
1,9,30,3,2015,8,0,1
1,7,2,3,2015,17,0,1
6,3,21,2,2015,2,10,1
7,2,25,1,2015,2,55,1
5,4,9,1,2015,8,38,1
1,3,5,1,2015,23,24,1
1,1,22,12,2014,12,45,1
6,1,13,12,2014,22,28,1
4,4,27,11,2014,5,55,1
5,1,14,11,2014,20,0,1
4,8,30,10,2014,6,0,1
3,9,29,10,2014,10,30,1
4,1,2,10,2014,21,0,1
3,4,1,10,2014,1,41,1
4,7,18,9,2014,8,13,1
2,9,16,9,2014,9,4,1
6,8,6,9,2014,19,0,1
3,9,3,9,2014,17,30,1
7,4,10,8,2014,0,55,1
5,4,8,8,2014,2,50,1
6,8,12,7,2014,20,15,1
6,3,12,7,2014,1,50,1
1,5,7,7,2014,8,2,1
5,1,30,5,2014,15,35,1
2,9,13,5,2014,6,5,1
4,2,1,5,2014,8,30,1
4,9,1,5,2014,5,0,1
3,8,16,4,2014,1,55,1
2,9,15,4,2014,19,34,1
2,9,15,4,2014,16,20,1
7,1,9,3,2014,13,19,1
1,5,3,3,2014,18,30,1
4,8,23,1,2014,0,30,1
4,4,28,11,2013,22,0,1
1,4,11,11,2013,10,35,1
5,9,1,11,2013,22,32,1
1,9,14,10,2013,1,23,1
3,9,2,10,2013,16,0,1
2,8,1,10,2013,16,41,1
1,5,30,9,2013,18,53,1
4,2,19,9,2013,21,10,1
4,10,19,9,2013,0,2,1
1,2,2,9,2013,20,47,1
4,8,8,8,2013,17,26,1
2,2,6,8,2013,12,32,1
7,1,28,7,2013,16,0,1
7,4,28,7,2013,0,14,1
6,8,29,6,2013,20,45,1
3,8,29,5,2013,8,20,1
2,4,28,5,2013,14,55,1
4,4,16,5,2013,7,13,1
1,1,29,4,2013,16,30,1
4,7,18,4,2013,15,0,1
4,6,4,4,2013,6,40,1
3,2,3,4,2013,11,0,1
1,10,1,4,2013,20,26,1
7,2,24,3,2013,18,9,1
5,3,8,3,2013,14,10,1
1,3,4,3,2013,18,30,1
7,10,10,2,2013,12,53,1
6,3,9,2,2013,19,50,1
1,4,4,2,2013,6,57,1
7,2,30,12,2012,17,45,1
4,2,27,12,2012,17,12,1
1,8,10,12,2012,14,0,1
1,1,26,11,2012,22,59,1
1,1,26,11,2012,17,47,1
7,4,18,11,2012,11,45,1
4,9,15,11,2012,17,0,1
2,1,13,11,2012,9,30,1
6,7,3,11,2012,20,40,1
4,2,1,11,2012,6,0,1
1,4,29,10,2012,23,5,1
5,4,19,10,2012,0,1,1
1,9,15,10,2012,11,0,1
6,3,6,10,2012,18,52,1
7,4,23,9,2012,10,55,1
5,8,21,9,2012,18,30,1
4,4,20,9,2012,17,0,1
3,9,19,9,2012,21,0,1
6,7,25,8,2012,19,48,1
6,4,11,8,2012,18,15,1
1,5,6,8,2012,17,0,1
4,3,26,7,2012,14,47,1
2,7,24,7,2012,13,21,1
1,10,9,7,2012,9,30,1
6,9,30,6,2012,13,37,1
5,9,29,6,2012,2,9,1
4,7,28,6,2012,18,33,1
3,8,13,6,2012,14,0,1
3,5,13,6,2012,6,35,1
3,4,30,5,2012,11,30,1
2,7,15,5,2012,21,58,1
1,4,30,4,2012,13,34,1
4,8,19,4,2012,17,40,1
5,8,23,3,2012,17,0,1
2,8,6,3,2012,12,0,1
7,8,26,2,2012,9,0,1
2,2,21,2,2012,22,52,1
4,9,9,2,2012,9,45,1
7,2,1,1,2012,19,15,1
7,6,1,1,2012,19,14,1
7,5,1,1,2012,14,45,1
6,6,31,12,2011,11,55,1
6,10,31,12,2011,1,15,1
5,5,16,12,2011,3,51,1
3,8,30,11,2011,0,41,1
2,3,15,11,2011,22,31,1
2,9,15,11,2011,20,1,1
1,10,14,11,2011,22,0,1
7,8,6,11,2011,1,45,1
6,6,5,11,2011,15,51,1
5,5,4,11,2011,17,0,1
4,8,3,11,2011,18,40,1
2,8,1,11,2011,0,1,1
1,3,3,10,2011,19,25,1
1,5,3,10,2011,10,10,1
6,4,24,9,2011,18,55,1
3,8,21,9,2011,6,40,1
3,10,7,9,2011,6,16,1
3,4,24,8,2011,11,0,1
1,5,8,8,2011,12,0,1
7,6,17,7,2011,2,10,1
6,3,16,7,2011,10,0,1
2,5,28,6,2011,18,0,1
2,8,28,6,2011,9,0,1
1,9,27,6,2011,19,30,1
6,9,18,6,2011,10,56,1
4,7,16,6,2011,1,18,1
2,4,14,6,2011,0,30,1
1,4,13,6,2011,13,47,1
7,1,22,5,2011,11,37,1
1,1,16,5,2011,12,0,1
7,7,8,5,2011,21,0,1
3,10,4,5,2011,9,0,1
2,8,3,5,2011,14,0,1
6,2,23,4,2011,17,49,1
6,2,23,4,2011,12,20,1
5,4,22,4,2011,9,25,1
3,2,20,4,2011,7,20,1
5,10,8,4,2011,15,10,1
7,4,27,3,2011,3,40,1
6,9,26,3,2011,2,30,1
4,4,24,3,2011,14,0,1
4,4,24,3,2011,10,40,1
3,6,23,3,2011,9,20,1
3,9,23,3,2011,7,50,1
2,7,22,2,2011,22,15,1
6,8,12,2,2011,1,25,1
4,7,27,1,2011,18,30,1
3,2,29,12,2010,17,22,1
1,5,27,12,2010,21,30,1
5,9,17,12,2010,2,0,1
3,1,15,12,2010,10,0,1
7,4,5,12,2010,14,40,1
5,1,3,12,2010,12,10,1
4,8,18,11,2010,0,30,1
2,9,16,11,2010,17,50,1
7,2,7,11,2010,12,0,1
4,5,21,10,2010,8,45,1
1,6,18,10,2010,14,10,1
4,9,7,10,2010,16,0,1
6,2,25,9,2010,16,36,1
7,1,12,9,2010,12,0,1
7,2,29,8,2010,2,25,1
3,2,25,8,2010,1,1,1
7,4,15,8,2010,11,5,1
6,10,14,8,2010,21,0,1
3,3,14,7,2010,20,30,1
6,3,19,6,2010,14,0,1
1,2,14,6,2010,16,40,1
4,5,3,6,2010,16,20,1
7,9,23,5,2010,13,35,1
6,6,22,5,2010,6,36,1
3,9,19,5,2010,13,43,1
6,2,8,5,2010,11,49,1
5,4,7,5,2010,12,0,1
5,2,23,4,2010,20,0,1
5,1,9,4,2010,23,13,1
2,4,23,2,2010,8,0,1
2,5,23,2,2010,6,55,1
5,5,12,2,2010,16,0,1
4,4,28,1,2010,10,2,1
7,9,29,11,2009,10,30,1
7,9,1,11,2009,2,30,1
6,4,31,10,2009,11,30,1
5,8,16,10,2009,12,0,1
4,10,1,10,2009,3,2,1
5,4,18,9,2009,18,0,1
4,2,17,9,2009,11,10,1
7,9,23,8,2009,13,45,1
4,8,20,8,2009,7,0,1
4,7,20,8,2009,6,30,1
3,9,19,8,2009,9,40,1
3,4,19,8,2009,7,0,1
2,1,18,8,2009,18,37,1
2,8,18,8,2009,8,30,1
1,1,17,8,2009,16,19,1
7,4,9,8,2009,19,0,1
7,4,9,8,2009,11,20,1
3,4,5,8,2009,19,15,1
2,7,4,8,2009,14,15,1
7,5,12,7,2009,12,30,1
6,5,11,7,2009,20,0,1
5,7,10,7,2009,13,0,1
1,1,8,6,2009,8,50,1
6,6,30,5,2009,11,0,1
2,8,26,5,2009,16,0,1
2,7,26,5,2009,11,53,1
7,3,17,5,2009,22,40,1
5,8,15,5,2009,17,0,1
2,2,12,5,2009,15,33,1
4,1,30,4,2009,22,50,1
4,8,16,4,2009,19,33,1
2,2,14,4,2009,21,26,1
5,1,20,3,2009,19,0,1
5,1,20,3,2009,19,0,1
5,1,20,3,2009,19,0,1
5,8,20,3,2009,19,0,1
1,7,16,3,2009,2,0,1
7,10,8,3,2009,18,0,1
6,5,7,3,2009,12,0,1
5,2,20,2,2009,19,49,1
1,1,16,2,2009,8,30,1
4,7,5,2,2009,7,24,1
5,3,23,1,2009,10,0,1
5,9,9,1,2009,18,41,1
3,4,7,1,2009,13,40,1
1,5,5,1,2009,15,46,1
7,5,28,12,2008,9,44,1
6,10,27,12,2008,15,0,1
4,5,25,12,2008,20,20,1
2,3,23,12,2008,17,56,1
5,6,12,12,2008,4,40,1
4,7,11,12,2008,11,0,1
2,3,9,12,2008,0,1,1
5,9,28,11,2008,19,46,1
5,8,28,11,2008,7,0,1
7,4,16,11,2008,14,15,1
1,4,10,11,2008,13,22,1
6,10,1,11,2008,18,10,1
5,7,31,10,2008,1,30,1
2,10,28,10,2008,15,0,1
7,6,19,10,2008,6,10,1
2,3,14,10,2008,18,31,1
7,9,5,10,2008,1,40,1
3,8,1,10,2008,18,0,1
4,6,18,9,2008,5,21,1
3,2,17,9,2008,14,30,1
5,3,22,8,2008,10,30,1
3,4,20,8,2008,17,8,1
7,4,27,7,2008,17,0,1
2,2,22,7,2008,1,36,1
7,4,13,7,2008,15,0,1
6,8,12,7,2008,21,0,1
6,10,12,7,2008,11,8,1
6,8,12,7,2008,0,5,1
3,4,9,7,2008,6,55,1
7,5,29,6,2008,10,45,1
6,1,28,6,2008,10,58,1
4,7,26,6,2008,13,0,1
3,2,25,6,2008,9,13,1
7,8,15,6,2008,9,0,1
5,5,16,5,2008,8,46,1
4,2,1,5,2008,22,40,1
4,1,1,5,2008,7,30,1
6,8,19,4,2008,0,55,1
3,10,16,4,2008,1,0,1
4,9,3,4,2008,19,50,1
2,10,18,3,2008,22,0,1
7,4,9,3,2008,21,9,1
7,10,9,3,2008,18,43,1
7,5,9,3,2008,9,0,1
5,1,7,3,2008,17,0,1
6,1,26,1,2008,23,1,1
6,5,26,1,2008,11,35,1
5,6,25,1,2008,23,59,1
6,2,12,1,2008,11,10,1
5,1,11,1,2008,4,48,1
4,5,10,1,2008,12,43,1
3,7,26,12,2007,12,16,1
2,2,25,12,2007,15,42,1
4,5,15,11,2007,6,30,1
7,2,4,11,2007,20,30,1
6,1,3,11,2007,23,0,1
5,5,2,11,2007,12,51,1
2,2,30,10,2007,18,45,1
2,8,16,10,2007,12,24,1
6,9,6,10,2007,19,0,1
3,2,3,10,2007,8,52,1
5,1,21,9,2007,18,53,1
7,5,9,9,2007,20,40,1
7,5,9,9,2007,13,35,1
7,5,9,9,2007,10,32,1
1,9,3,9,2007,18,40,1
2,5,7,8,2007,9,8,1
6,7,28,7,2007,21,50,1
4,8,26,7,2007,9,0,1
2,2,10,7,2007,14,5,1
4,8,28,6,2007,21,0,1
1,2,25,6,2007,16,8,1
7,8,17,6,2007,9,40,1
6,5,2,6,2007,15,25,1
5,5,4,5,2007,13,6,1
1,7,16,4,2007,17,1,1
3,4,4,4,2007,18,0,1
3,2,4,4,2007,15,58,1
2,10,3,4,2007,15,30,1
6,5,24,3,2007,16,10,1
5,4,23,3,2007,18,38,1
5,4,23,3,2007,18,38,1
4,4,22,3,2007,19,28,1
4,10,22,3,2007,9,24,1
2,5,6,3,2007,14,50,1
5,1,23,2,2007,13,34,1
4,1,22,2,2007,11,40,1
4,10,8,2,2007,2,0,1
7,4,28,1,2007,14,35,1
6,1,27,1,2007,15,0,1
5,2,26,1,2007,21,8,1
2,7,23,1,2007,21,0,1
1,5,8,1,2007,16,17,1
7,3,31,12,2006,1,30,1
5,5,29,12,2006,0,10,1
4,3,28,12,2006,23,10,1
6,4,18,11,2006,5,10,1
3,8,15,11,2006,9,42,1
2,8,14,11,2006,1,13,1
6,6,4,11,2006,12,0,1
4,1,2,11,2006,13,30,1
2,9,31,10,2006,22,0,1
1,1,2,10,2006,18,15,1
7,1,24,9,2006,20,55,1
4,9,21,9,2006,21,23,1
3,6,20,9,2006,19,8,1
3,1,6,9,2006,21,25,1
1,6,4,9,2006,1,20,1
2,5,22,8,2006,15,35,1
1,9,21,8,2006,18,52,1
2,8,25,7,2006,12,30,1
1,5,24,7,2006,17,0,1
6,4,15,7,2006,17,0,1
3,5,28,6,2006,16,54,1
2,9,27,6,2006,7,30,1
1,7,26,6,2006,21,0,1
1,7,26,6,2006,21,0,1
6,1,17,6,2006,10,0,1
4,4,15,6,2006,21,26,1
5,9,2,6,2006,19,0,1
1,4,29,5,2006,18,40,1
4,6,18,5,2006,7,5,1
3,9,17,5,2006,19,30,1
1,5,15,5,2006,12,3,1
3,8,3,5,2006,2,10,1
5,7,21,4,2006,18,0,1
6,3,8,4,2006,22,40,1
4,5,6,4,2006,15,0,1
2,2,4,4,2006,19,54,1
3,5,22,3,2006,13,59,1
4,3,9,3,2006,9,30,1
7,8,26,2,2006,19,35,1
2,7,21,2,2006,20,50,1
5,9,10,2,2006,20,8,1
5,8,27,1,2006,16,30,1
3,7,25,1,2006,18,45,1
1,2,23,1,2006,8,0,1
5,3,13,1,2006,21,0,1
6,7,31,12,2005,15,20,1
2,3,27,12,2005,0,1,1
4,4,1,12,2005,22,5,1
4,1,1,12,2005,5,39,1
7,1,20,11,2005,12,0,1
3,7,16,11,2005,11,46,1
3,6,19,10,2005,8,23,1
1,3,19,9,2005,11,40,1
1,9,19,9,2005,10,40,1
6,10,10,9,2005,8,0,1
6,4,27,8,2005,15,11,1
6,9,27,8,2005,1,0,1
3,5,10,8,2005,9,50,1
4,2,28,7,2005,12,0,1
4,3,28,7,2005,10,20,1
4,5,14,7,2005,12,55,1
4,10,14,7,2005,1,0,1
4,3,14,7,2005,0,14,1
1,9,13,6,2005,16,30,1
7,2,5,6,2005,8,17,1
6,9,4,6,2005,1,13,1
4,1,2,6,2005,13,5,1
5,8,20,5,2005,9,44,1
4,5,19,5,2005,19,21,1
1,1,16,5,2005,14,0,1
1,3,16,5,2005,2,30,1
5,5,6,5,2005,16,0,1
5,2,6,5,2005,13,37,1
4,4,5,5,2005,15,26,1
1,8,2,5,2005,15,16,1
7,5,24,4,2005,7,36,1
5,5,22,4,2005,21,30,1
3,8,23,3,2005,20,38,1
6,2,12,3,2005,7,2,1
5,5,11,3,2005,16,20,1
4,9,10,3,2005,12,5,1
2,5,22,2,2005,14,50,1
7,2,30,1,2005,12,0,1
5,1,28,1,2005,15,0,1
4,5,27,1,2005,13,19,1
6,1,25,12,2004,12,30,1
1,4,20,12,2004,13,0,1
5,2,10,12,2004,12,41,1
5,9,10,12,2004,12,0,1
4,1,9,12,2004,8,0,1
2,4,7,12,2004,11,25,1
4,4,25,11,2004,1,0,1
1,8,22,11,2004,20,29,1
7,3,14,11,2004,11,50,1
6,9,13,11,2004,8,10,1
4,5,11,11,2004,13,36,1
3,1,10,11,2004,22,50,1
2,4,9,11,2004,15,30,1
1,2,25,10,2004,12,0,1
6,7,16,10,2004,22,40,1
5,5,15,10,2004,3,45,1
4,2,16,9,2004,18,8,1
1,8,13,9,2004,15,33,1
6,4,4,9,2004,9,6,1
4,7,2,9,2004,0,5,1
3,5,1,9,2004,19,45,1
5,5,20,8,2004,15,58,1
2,1,17,8,2004,11,46,1
4,5,5,8,2004,2,0,1
6,5,10,7,2004,16,0,1
5,9,9,7,2004,18,34,1
5,5,9,7,2004,16,49,1
1,9,5,7,2004,16,53,1
6,4,26,6,2004,9,23,1
6,8,29,5,2004,23,0,1
3,8,26,5,2004,8,0,1
5,2,14,5,2004,8,24,1
4,6,13,5,2004,21,20,1
4,9,13,5,2004,11,40,1
3,7,12,5,2004,8,45,1
3,1,12,5,2004,5,50,1
1,5,10,5,2004,15,10,1
7,5,2,5,2004,16,0,1
7,2,2,5,2004,14,5,1
7,8,18,4,2004,23,41,1
1,5,12,4,2004,15,0,1
5,2,2,4,2004,8,5,1
1,2,29,3,2004,19,17,1
7,1,21,3,2004,10,52,1
4,3,18,3,2004,0,48,1
3,2,17,3,2004,16,3,1
2,8,16,3,2004,12,2,1
5,7,9,1,2004,23,0,1
5,8,9,1,2004,16,45,1
1,1,5,1,2004,21,20,1
3,1,24,12,2003,11,45,1
2,2,9,12,2003,13,40,1
1,4,8,12,2003,11,12,1
1,7,8,12,2003,10,5,1
6,7,29,11,2003,8,0,1
6,1,29,11,2003,4,55,1
3,5,26,11,2003,5,5,1
4,1,13,11,2003,1,55,1
3,6,12,11,2003,7,15,1
7,8,2,11,2003,14,50,1
6,5,1,11,2003,11,33,1
1,1,15,9,2003,23,48,1
1,4,15,9,2003,9,55,1
6,8,6,9,2003,17,14,1
4,4,4,9,2003,19,14,1
2,4,2,9,2003,20,0,1
2,1,19,8,2003,21,0,1
4,10,7,8,2003,16,5,1
7,3,27,7,2003,19,54,1
7,8,27,7,2003,3,0,1
2,2,22,7,2003,17,30,1
1,1,7,7,2003,13,45,1
1,9,7,7,2003,12,3,1
6,9,28,6,2003,20,20,1
6,10,28,6,2003,16,57,1
5,8,30,5,2003,22,17,1
5,9,30,5,2003,7,40,1
2,7,27,5,2003,19,50,1
2,2,27,5,2003,5,0,1
6,5,17,5,2003,7,34,1
2,7,13,5,2003,10,55,1
7,4,4,5,2003,11,55,1
3,8,30,4,2003,18,50,1
3,3,30,4,2003,18,32,1
7,3,20,4,2003,1,0,1
5,3,21,3,2003,19,0,1
2,10,18,3,2003,0,1,1
1,8,17,3,2003,11,0,1
4,4,6,3,2003,17,59,1
3,7,19,2,2003,9,15,1
1,1,17,2,2003,18,1,1
4,8,6,2,2003,0,8,1
3,7,5,2,2003,21,22,1
3,9,5,2,2003,10,34,1
2,9,4,2,2003,9,30,1
1,2,3,2,2003,14,45,1
6,3,25,1,2003,15,50,1
4,3,23,1,2003,12,19,1
3,4,22,1,2003,19,11,1
6,8,19,10,2013,9,58,0
4,3,22,3,2007,23,20,0
7,5,24,4,2011,10,7,0
6,2,5,11,2005,16,30,0
2,1,24,7,2012,13,10,0
4,4,10,2,2005,13,44,0
5,9,5,10,2012,10,0,0
4,2,16,10,2008,7,25,0
7,1,26,1,2003,18,0,0
2,2,7,2,2012,17,0,0
2,6,28,6,2011,8,0,0
3,3,4,3,2015,13,0,0
3,5,24,6,2009,6,15,0
4,2,11,8,2005,13,0,0
2,2,10,12,2013,15,0,0
4,9,5,10,2006,21,0,0
5,10,26,12,2003,3,55,0
7,2,28,12,2014,12,50,0
7,8,23,10,2005,13,10,0
2,10,14,10,2014,23,35,0
3,7,29,4,2009,23,0,0
6,1,28,6,2008,22,15,0
6,2,3,11,2007,23,0,0
7,5,11,4,2010,12,0,0
2,2,20,1,2015,12,58,0
5,2,30,10,2009,18,33,0
5,9,29,7,2005,0,31,0
4,2,14,7,2005,19,30,0
4,8,18,4,2013,2,15,0
1,6,21,8,2006,15,15,0
4,5,18,10,2007,20,4,0
4,10,20,10,2005,10,0,0
2,8,28,10,2014,13,14,0
3,5,1,10,2008,0,34,0
5,2,6,2,2015,9,0,0
3,1,20,8,2003,14,0,0
4,6,4,9,2008,18,17,0
1,2,20,2,2006,12,20,0
7,4,20,10,2013,9,0,0
2,2,23,11,2004,16,15,0
6,4,3,5,2003,16,0,0
5,9,12,1,2007,22,30,0
4,9,19,2,2009,23,0,0
4,10,4,10,2012,20,5,0
5,2,24,7,2009,22,30,0
5,1,3,4,2015,10,53,0
2,2,22,2,2011,14,46,0
6,4,10,7,2004,14,2,0
3,2,26,12,2012,20,45,0
4,2,2,12,2010,20,50,0
7,8,11,1,2004,13,0,0
6,2,6,9,2008,4,20,0
5,7,7,2,2014,22,0,0
4,4,28,6,2007,7,45,0
7,1,18,12,2005,19,15,0
7,2,8,5,2011,3,20,0
7,2,20,5,2012,15,50,0
2,3,2,3,2004,11,17,0
6,4,15,7,2006,15,15,0
5,7,2,12,2005,13,30,0
5,9,24,3,2006,23,0,0
2,4,14,4,2009,21,0,0
1,5,14,4,2014,1,56,0
1,7,24,7,2006,6,45,0
1,9,19,1,2004,15,30,0
7,4,11,9,2005,11,0,0
7,1,13,3,2005,1,0,0
7,8,8,4,2012,10,45,0
3,4,16,11,2005,16,44,0
7,5,18,10,2009,14,57,0
6,5,18,6,2005,23,37,0
2,9,22,3,2011,10,57,0
5,2,15,6,2012,13,0,0
5,9,11,7,2008,0,5,0
1,10,18,10,2010,2,0,0
1,2,1,9,2008,23,30,0
2,6,18,2,2003,15,59,0
4,5,4,3,2004,12,55,0
4,1,1,10,2009,18,0,0
7,4,3,5,2009,20,0,0
4,4,15,6,2006,8,32,0
7,2,26,3,2006,18,30,0
5,10,29,11,2013,17,0,0
5,5,13,11,2009,0,18,0
7,10,23,9,2007,8,30,0
1,3,16,4,2007,10,0,0
1,9,18,4,2011,12,0,0
4,2,9,8,2007,17,5,0
6,3,5,4,2014,14,0,0
2,10,10,1,2012,12,25,0
6,9,15,1,2005,17,0,0
3,1,29,11,2006,12,0,0
7,3,29,12,2013,18,0,0
4,1,30,4,2015,10,45,0
7,2,6,4,2014,1,30,0
6,7,17,5,2008,8,0,0
4,3,5,5,2005,15,34,0
6,2,24,4,2010,7,0,0
5,4,25,2,2011,22,0,0
3,2,25,7,2012,12,32,0
5,1,14,12,2012,21,37,0
4,5,4,3,2004,1,0,0
7,1,23,3,2008,15,0,0
2,3,5,4,2011,16,30,0
5,1,20,10,2006,12,0,0
4,5,23,2,2006,8,0,0
1,5,13,9,2004,2,52,0
1,7,21,1,2008,13,37,0
1,4,15,11,2010,19,42,0
5,10,6,5,2005,19,0,0
4,10,19,5,2005,15,50,0
3,10,4,2,2015,18,35,0
4,3,26,12,2013,2,26,0
7,9,18,12,2005,11,10,0
3,10,13,7,2011,15,30,0
7,3,29,6,2014,16,31,0
4,1,29,12,2005,10,0,0
7,2,29,12,2013,23,35,0
2,2,12,5,2015,11,30,0
1,3,6,2,2006,20,20,0
3,4,23,3,2005,11,15,0
6,3,18,6,2005,16,16,0
1,1,7,3,2011,12,30,0
2,7,12,1,2010,13,0,0
4,10,27,7,2006,14,20,0
1,1,14,10,2013,13,0,0
3,2,18,2,2015,18,27,0
1,9,14,11,2011,22,30,0
5,4,11,2,2005,12,0,0
6,3,9,8,2003,22,30,0
4,8,19,8,2004,12,0,0
5,2,28,6,2013,19,0,0
3,10,2,11,2005,14,50,0
7,2,14,8,2005,20,30,0
7,3,20,6,2010,21,0,0
5,1,30,4,2004,23,20,0
2,2,27,11,2007,13,50,0
4,8,26,6,2008,13,40,0
7,2,15,12,2013,12,2,0
1,2,24,11,2003,14,18,0
2,4,26,5,2009,0,46,0
2,1,27,6,2006,18,30,0
5,2,16,4,2004,16,20,0
5,8,2,7,2010,23,33,0
1,2,20,7,2009,16,20,0
2,4,17,4,2012,8,43,0
7,8,7,10,2007,8,0,0
5,10,13,12,2013,20,0,0
5,2,29,1,2010,14,6,0
7,2,12,1,2014,3,58,0
2,4,16,3,2004,22,49,0
7,4,14,7,2013,10,40,0
1,3,3,3,2014,17,46,0
1,3,10,1,2005,11,50,0
6,3,22,3,2003,4,15,0
7,2,29,8,2010,18,33,0
4,4,27,11,2014,0,24,0
2,5,6,9,2011,9,0,0
5,2,21,9,2012,20,50,0
6,3,28,6,2014,0,1,0
7,2,5,4,2015,21,30,0
6,2,22,10,2011,10,0,0
7,2,20,9,2009,9,36,0
5,8,25,3,2005,21,30,0
7,1,10,2,2013,0,1,0
3,6,21,8,2013,19,10,0
1,9,24,11,2003,17,0,0
5,3,19,9,2003,12,6,0
7,7,22,4,2012,11,15,0
6,2,20,9,2008,2,20,0
3,1,18,5,2005,17,0,0
7,2,18,12,2005,15,0,0
5,3,31,5,2013,8,0,0
6,1,21,2,2004,15,0,0
2,2,4,8,2009,12,19,0
5,10,1,6,2012,18,20,0
3,9,23,1,2008,8,30,0
4,7,27,12,2007,20,30,0
2,10,4,2,2003,17,52,0
7,7,11,1,2009,21,0,0
3,10,6,9,2006,8,10,0
4,9,29,11,2012,13,0,0
7,9,20,4,2014,15,0,0
4,1,7,2,2013,10,0,0
5,7,29,6,2007,16,20,0
4,2,15,5,2014,15,56,0
3,2,17,10,2012,16,6,0
1,4,9,6,2014,12,0,0
5,5,2,11,2007,0,35,0
3,4,15,6,2011,12,18,0
2,5,20,1,2004,1,27,0
2,9,6,1,2004,15,34,0
6,2,10,1,2015,10,50,0
7,4,11,1,2004,20,27,0
4,6,30,4,2009,21,0,0
7,1,4,12,2011,0,30,0
3,6,6,8,2008,17,0,0
7,3,4,5,2014,7,56,0
2,9,9,12,2008,20,0,0
4,1,26,6,2008,14,3,0
7,5,17,1,2010,1,3,0
5,1,10,8,2012,0,30,0
1,8,5,3,2012,2,4,0
7,2,8,2,2004,18,27,0
1,10,11,6,2012,11,15,0
3,6,1,9,2004,12,0,0
3,5,28,5,2003,5,30,0
3,6,31,3,2004,23,0,0
1,2,12,5,2003,17,31,0
6,2,2,6,2007,22,10,0
6,5,3,5,2003,21,0,0
6,9,29,12,2012,14,0,0
3,6,5,3,2003,1,30,0
3,1,27,1,2010,0,20,0
6,4,3,5,2003,10,43,0
3,4,24,8,2005,19,22,0
3,10,15,10,2008,22,33,0
4,2,3,6,2010,12,40,0
6,10,6,9,2008,18,57,0
7,5,9,9,2012,2,45,0
6,8,25,12,2004,13,25,0
1,2,29,9,2003,19,0,0
4,8,18,9,2008,4,53,0
4,10,22,1,2009,17,55,0
3,8,9,2,2005,8,30,0
3,4,23,1,2008,21,11,0
1,4,9,6,2014,11,55,0
3,1,8,1,2003,13,15,0
2,3,6,9,2011,14,45,0
1,2,9,7,2007,12,30,0
4,4,1,11,2007,13,0,0
2,4,1,4,2003,22,50,0
1,8,25,12,2006,12,0,0
7,10,24,10,2010,3,30,0
1,6,5,1,2015,0,1,0
5,2,16,10,2009,7,45,0
2,2,23,12,2003,21,0,0
1,4,15,10,2007,15,15,0
2,5,15,11,2005,11,0,0
4,4,13,11,2008,18,21,0
6,5,17,12,2005,17,0,0
5,9,1,6,2007,22,15,0
7,8,13,6,2004,20,0,0
7,10,25,1,2015,14,0,0
7,8,12,2,2006,21,13,0
3,8,31,10,2007,22,0,0
4,5,22,3,2012,19,5,0
2,2,20,4,2010,11,40,0
7,7,30,5,2004,23,30,0
3,8,20,2,2013,21,0,0
5,9,23,1,2009,18,4,0
