"day","address","location","date","month","year","hour","min","BADCHECKS"
4,4366,7,19,3,2015,14,45,1
3,213,4,18,3,2015,17,2,1
4,6848,8,5,2,2015,8,0,1
1,511,4,2,2,2015,19,30,1
1,5764,5,22,12,2014,14,9,1
5,1406,4,28,11,2014,13,0,1
2,5415,2,28,10,2014,8,0,1
1,1334,3,13,10,2014,6,0,1
5,421,1,19,9,2014,15,55,1
5,1912,1,19,9,2014,10,0,1
4,1406,4,26,6,2014,12,0,1
5,511,4,16,5,2014,8,0,1
2,2995,5,29,4,2014,13,0,1
1,1162,1,28,4,2014,13,40,1
3,3103,2,2,4,2014,13,0,1
3,7232,5,8,1,2014,11,0,1
5,5359,9,1,11,2013,12,0,1
2,753,2,6,8,2013,17,0,1
5,374,8,28,6,2013,22,0,1
1,11035,9,24,6,2013,0,1,1
3,1547,3,15,5,2013,18,0,1
1,4242,9,29,4,2013,16,30,1
1,4858,1,1,4,2013,11,8,1
4,4702,6,21,3,2013,11,0,1
4,1884,3,7,3,2013,14,0,1
1,2010,5,4,2,2013,12,0,1
4,16688,7,10,1,2013,14,5,1
3,14489,5,9,1,2013,9,0,1
4,16760,3,27,12,2012,0,1,1
2,7599,6,13,11,2012,8,0,1
4,6848,8,1,11,2012,16,0,1
2,3740,6,16,10,2012,14,0,1
1,4876,3,1,10,2012,0,1,1
3,1041,5,5,9,2012,15,0,1
3,392,4,5,9,2012,12,19,1
3,2104,9,5,9,2012,11,47,1
6,1090,4,25,8,2012,9,43,1
3,8094,9,8,8,2012,12,0,1
7,2165,9,15,7,2012,14,0,1
7,97,2,1,7,2012,18,0,1
7,7031,1,17,6,2012,15,0,1
1,3024,7,11,6,2012,16,30,1
1,17683,7,28,5,2012,0,1,1
1,2882,1,14,5,2012,7,0,1
4,1093,6,3,5,2012,13,0,1
3,853,2,2,5,2012,15,15,1
2,745,1,1,5,2012,12,0,1
5,17144,9,6,4,2012,17,0,1
4,2588,1,5,4,2012,12,0,1
3,1003,9,4,4,2012,14,30,1
7,1157,2,25,3,2012,12,27,1
4,8089,1,9,2,2012,10,0,1
6,114,8,3,12,2011,11,30,1
5,5650,5,2,12,2011,11,0,1
5,538,8,2,12,2011,9,0,1
3,1237,5,30,11,2011,17,15,1
3,1136,4,16,11,2011,16,0,1
2,10519,9,15,11,2011,12,0,1
2,2617,1,15,11,2011,11,0,1
2,602,2,15,11,2011,4,0,1
4,10182,6,6,10,2011,12,0,1
6,165,9,10,9,2011,14,30,1
2,15962,3,6,9,2011,16,25,1
5,5719,7,29,7,2011,0,1,1
5,1367,1,1,7,2011,12,0,1
3,70,10,29,6,2011,10,0,1
4,424,1,16,6,2011,14,0,1
1,3619,2,13,6,2011,14,0,1
4,363,2,2,6,2011,9,0,1
3,841,2,1,6,2011,9,0,1
5,9306,4,20,5,2011,19,0,1
1,468,2,4,4,2011,18,24,1
6,872,2,26,3,2011,16,20,1
3,4727,7,9,3,2011,16,25,1
3,1571,7,9,3,2011,11,0,1
1,1090,4,21,2,2011,15,38,1
3,939,5,9,2,2011,15,50,1
3,666,2,9,2,2011,12,0,1
1,3624,1,24,1,2011,9,0,1
6,9444,4,15,1,2011,11,0,1
5,365,1,14,1,2011,20,41,1
5,7859,3,14,1,2011,9,0,1
3,8101,4,29,12,2010,17,0,1
1,390,5,13,12,2010,8,0,1
1,13308,5,13,12,2010,0,1,1
5,7516,1,3,12,2010,12,0,1
4,2441,1,23,9,2010,16,0,1
4,872,2,26,8,2010,14,30,1
5,2173,7,30,7,2010,12,0,1
6,3434,1,3,7,2010,13,0,1
5,2622,2,2,7,2010,0,1,1
4,10051,3,1,7,2010,0,1,1
4,779,2,17,6,2010,0,1,1
2,1913,5,15,6,2010,12,0,1
2,7943,1,15,6,2010,0,1,1
2,29,5,18,5,2010,16,47,1
5,2609,2,7,5,2010,16,0,1
4,125,2,6,5,2010,12,0,1
1,39,3,19,4,2010,13,0,1
6,468,2,13,3,2010,20,28,1
5,3792,3,12,3,2010,8,0,1
4,10420,1,24,12,2009,14,0,1
5,13711,4,11,12,2009,14,0,1
6,125,2,28,11,2009,8,0,1
2,7636,7,10,11,2009,12,0,1
5,468,2,30,10,2009,21,39,1
5,1780,4,30,10,2009,12,0,1
2,435,10,13,10,2009,10,0,1
4,583,4,1,10,2009,0,1,1
2,422,9,29,9,2009,17,0,1
3,6252,8,2,9,2009,22,0,1
6,8044,9,8,8,2009,12,0,1
1,4,6,20,7,2009,11,0,1
6,6598,3,11,7,2009,16,0,1
3,11802,3,8,7,2009,9,0,1
1,3024,7,6,7,2009,12,0,1
6,737,5,16,5,2009,21,0,1
2,3174,7,12,5,2009,8,0,1
6,5415,2,2,5,2009,12,0,1
4,2149,5,16,4,2009,0,1,1
3,3498,3,15,4,2009,19,15,1
3,6193,2,15,4,2009,9,0,1
1,29,5,13,4,2009,0,1,1
5,77,10,3,4,2009,8,0,1
3,16159,5,1,4,2009,11,0,1
6,2807,5,7,3,2009,23,30,1
1,707,1,19,1,2009,8,0,1
6,5415,2,27,12,2008,12,0,1
5,468,2,12,12,2008,20,35,1
1,125,2,8,12,2008,8,0,1
1,9973,1,8,12,2008,0,1,1
3,19822,9,26,11,2008,12,0,1
2,114,8,25,11,2008,16,48,1
4,10033,3,13,11,2008,12,0,1
2,458,6,11,11,2008,13,0,1
7,714,2,2,11,2008,15,0,1
3,1097,7,29,10,2008,0,1,1
2,125,2,28,10,2008,12,0,1
2,6923,7,28,10,2008,10,0,1
1,146,10,27,10,2008,17,50,1
6,148,5,4,10,2008,15,0,1
6,1894,6,4,10,2008,10,0,1
4,9063,9,2,10,2008,0,1,1
2,1335,6,16,9,2008,0,1,1
1,12159,1,1,9,2008,12,0,1
4,4308,8,21,8,2008,16,45,1
7,92,1,10,8,2008,0,1,1
7,14542,8,13,7,2008,10,0,1
6,4831,2,12,7,2008,16,30,1
4,4875,2,10,7,2008,12,0,1
2,435,10,8,7,2008,3,0,1
1,4355,4,9,6,2008,12,0,1
2,94,1,27,5,2008,17,18,1
5,704,2,16,5,2008,9,0,1
2,2617,1,13,5,2008,10,0,1
3,10841,4,16,4,2008,9,30,1
1,164,4,14,4,2008,17,0,1
4,2289,1,20,3,2008,16,0,1
2,1974,1,18,3,2008,14,0,1
1,5307,8,3,3,2008,13,0,1
2,12128,9,19,2,2008,9,0,1
5,417,3,11,1,2008,12,0,1
4,1955,9,10,1,2008,9,30,1
1,8668,5,7,1,2008,12,0,1
3,1351,8,12,12,2007,9,0,1
4,1541,3,29,11,2007,19,0,1
6,6977,3,3,11,2007,21,0,1
4,1153,4,18,10,2007,17,5,1
1,7412,4,17,9,2007,15,0,1
2,745,1,4,9,2007,7,0,1
5,5244,5,24,8,2007,17,20,1
5,1912,1,24,8,2007,12,0,1
3,1154,9,22,8,2007,11,45,1
5,559,6,27,7,2007,12,0,1
3,1042,3,25,7,2007,16,0,1
3,661,8,25,7,2007,0,1,1
4,9033,5,12,7,2007,12,0,1
1,9704,6,9,7,2007,12,0,1
5,745,1,1,6,2007,8,0,1
5,1094,2,1,6,2007,0,1,1
2,8361,1,29,5,2007,8,0,1
7,745,1,20,5,2007,23,16,1
5,1254,2,18,5,2007,0,1,1
4,2546,1,17,5,2007,12,0,1
5,17101,2,4,5,2007,6,0,1
4,1809,10,3,5,2007,0,1,1
4,21014,9,22,2,2007,10,0,1
2,910,5,20,2,2007,16,30,1
2,1781,3,20,2,2007,12,0,1
3,1679,5,24,1,2007,0,1,1
3,8089,1,10,1,2007,12,0,1
3,14004,9,10,1,2007,9,0,1
2,2055,1,9,1,2007,0,1,1
7,16771,3,31,12,2006,10,0,1
3,125,2,27,12,2006,0,1,1
6,28,4,16,12,2006,17,26,1
6,887,7,16,12,2006,14,0,1
5,3191,4,15,12,2006,0,1,1
4,363,2,14,12,2006,0,1,1
2,125,2,12,12,2006,7,0,1
3,190,9,29,11,2006,9,0,1
6,731,2,4,11,2006,8,30,1
2,3762,1,31,10,2006,9,0,1
5,2693,1,20,10,2006,0,1,1
3,29,5,4,10,2006,16,40,1
3,13530,4,20,9,2006,9,0,1
2,7536,6,19,9,2006,9,41,1
2,88,2,5,9,2006,17,27,1
3,1074,3,23,8,2006,16,45,1
6,4609,9,29,7,2006,7,45,1
5,88,2,28,7,2006,13,45,1
4,1603,3,13,7,2006,12,0,1
3,1406,4,12,7,2006,19,30,1
2,4935,7,11,7,2006,17,0,1
6,8924,9,1,7,2006,12,0,1
6,6102,1,1,7,2006,0,1,1
6,7774,7,1,7,2006,0,1,1
2,4777,4,27,6,2006,0,1,1
7,125,2,18,6,2006,18,0,1
4,1192,9,15,6,2006,13,6,1
3,1761,1,14,6,2006,16,25,1
6,12931,1,20,5,2006,9,0,1
5,5339,4,19,5,2006,0,1,1
1,4627,8,1,5,2006,9,0,1
3,9990,1,19,4,2006,0,1,1
3,6785,5,5,4,2006,7,0,1
3,10242,9,22,3,2006,9,0,1
1,10974,9,20,3,2006,0,1,1
5,5454,8,10,3,2006,10,0,1
4,3222,5,9,3,2006,0,1,1
1,841,2,6,3,2006,0,1,1
2,688,7,21,2,2006,12,0,1
1,5275,4,20,2,2006,1,0,1
6,9296,8,28,1,2006,12,0,1
2,3180,10,24,1,2006,12,0,1
6,4879,1,14,1,2006,14,30,1
2,14760,9,10,1,2006,12,0,1
2,2414,3,10,1,2006,8,0,1
1,504,4,9,1,2006,17,0,1
1,1730,10,9,1,2006,0,1,1
5,83,2,30,12,2005,12,0,1
1,912,10,26,12,2005,16,30,1
6,1095,5,17,12,2005,11,17,1
6,2414,3,17,12,2005,8,0,1
4,1187,9,15,12,2005,0,1,1
7,2803,10,4,12,2005,15,32,1
5,394,4,2,12,2005,0,1,1
4,11734,5,1,12,2005,15,0,1
3,4492,1,16,11,2005,0,1,1
2,3817,5,15,11,2005,12,0,1
2,1210,1,15,11,2005,0,1,1
1,1673,5,14,11,2005,15,37,1
7,12104,5,6,11,2005,0,1,1
4,676,8,3,11,2005,16,30,1
2,11501,4,1,11,2005,15,0,1
5,146,10,21,10,2005,12,0,1
2,2802,5,4,10,2005,10,0,1
1,5314,1,3,10,2005,12,0,1
7,16481,8,25,9,2005,12,0,1
5,8089,1,23,9,2005,0,1,1
2,841,2,20,9,2005,12,0,1
2,1463,5,20,9,2005,9,0,1
5,19773,9,9,9,2005,0,1,1
4,5625,8,8,9,2005,12,0,1
3,29,5,7,9,2005,0,1,1
1,1275,10,5,9,2005,18,40,1
2,4528,5,23,8,2005,0,1,1
1,4692,3,8,8,2005,0,1,1
6,98,4,16,7,2005,14,0,1
4,887,7,14,7,2005,15,50,1
4,4935,7,14,7,2005,15,20,1
3,594,8,13,7,2005,14,0,1
3,583,4,13,7,2005,0,1,1
3,1975,2,15,6,2005,11,0,1
4,13143,4,2,6,2005,19,0,1
4,7581,7,19,5,2005,11,0,1
2,6785,5,17,5,2005,0,1,1
1,4610,5,16,5,2005,12,0,1
1,5412,4,16,5,2005,8,0,1
5,1917,2,22,4,2005,9,0,1
4,5684,8,7,4,2005,9,0,1
2,1730,10,22,3,2005,12,0,1
2,4323,1,22,3,2005,0,1,1
1,3180,10,21,3,2005,13,0,1
1,29,5,7,3,2005,10,0,1
5,914,1,25,2,2005,9,0,1
6,571,2,12,2,2005,0,1,1
5,10732,8,11,2,2005,13,30,1
3,1557,9,9,2,2005,9,0,1
6,125,2,29,1,2005,17,0,1
6,232,4,29,1,2005,10,0,1
5,392,4,28,1,2005,12,45,1
4,10154,7,27,1,2005,14,0,1
2,1093,6,25,1,2005,17,34,1
3,951,5,12,1,2005,8,0,1
5,7515,1,24,12,2004,7,10,1
3,3530,5,8,12,2004,17,20,1
3,6397,7,8,12,2004,15,0,1
2,8397,9,7,12,2004,13,0,1
2,8984,3,7,12,2004,0,1,1
3,181,5,24,11,2004,12,0,1
2,3209,8,23,11,2004,12,0,1
4,2483,1,11,11,2004,16,0,1
7,2783,4,31,10,2004,6,51,1
5,125,2,1,10,2004,12,0,1
4,4162,9,2,9,2004,23,30,1
2,468,2,31,8,2004,16,10,1
2,2968,3,31,8,2004,4,50,1
1,812,5,30,8,2004,10,0,1
6,125,2,7,8,2004,19,30,1
6,8227,1,10,7,2004,12,0,1
4,417,3,8,7,2004,16,0,1
7,22221,1,16,5,2004,13,30,1
7,2162,5,16,5,2004,12,0,1
3,36,2,12,5,2004,15,40,1
3,98,4,12,5,2004,10,0,1
2,55,2,11,5,2004,17,0,1
6,12449,8,1,5,2004,0,1,1
5,1334,3,30,4,2004,0,1,1
7,4242,9,18,4,2004,15,0,1
6,3301,2,17,4,2004,8,0,1
6,1021,4,3,4,2004,0,1,1
3,841,2,31,3,2004,14,0,1
2,530,8,16,3,2004,0,1,1
1,14974,4,15,3,2004,14,0,1
6,887,7,6,3,2004,12,0,1
5,2441,1,5,3,2004,18,0,1
2,14561,9,2,3,2004,7,0,1
1,5314,1,1,3,2004,9,30,1
1,1178,8,1,3,2004,0,1,1
2,468,2,17,2,2004,17,40,1
5,5136,7,6,2,2004,12,0,1
5,13314,7,6,2,2004,9,0,1
4,5475,8,22,1,2004,12,0,1
3,1963,7,21,1,2004,5,38,1
4,2236,4,8,1,2004,9,0,1
2,887,7,6,1,2004,15,0,1
5,1274,2,26,12,2003,14,0,1
2,5133,7,23,12,2003,8,0,1
2,4071,4,23,12,2003,7,0,1
1,125,2,22,12,2003,0,1,1
1,1676,2,8,12,2003,13,0,1
3,1812,3,26,11,2003,18,0,1
2,601,9,25,11,2003,11,0,1
1,841,2,24,11,2003,14,0,1
4,11629,1,13,11,2003,19,0,1
3,4052,4,12,11,2003,8,0,1
6,2251,5,1,11,2003,12,0,1
5,102,10,31,10,2003,12,0,1
5,408,2,31,10,2003,11,14,1
2,3135,8,28,10,2003,15,30,1
4,10242,9,16,10,2003,15,0,1
3,227,1,15,10,2003,12,0,1
3,4947,2,15,10,2003,10,30,1
2,10010,5,14,10,2003,18,0,1
7,22055,2,5,10,2003,12,0,1
5,6502,9,3,10,2003,0,1,1
3,3349,3,1,10,2003,0,1,1
2,7243,1,30,9,2003,14,39,1
1,22365,3,29,9,2003,13,30,1
1,2156,2,15,9,2003,9,30,1
3,7621,5,3,9,2003,10,0,1
1,4842,7,1,9,2003,16,0,1
1,363,2,1,9,2003,12,0,1
6,1685,8,23,8,2003,14,0,1
4,2204,5,21,8,2003,15,0,1
3,8838,10,20,8,2003,10,45,1
2,1153,4,19,8,2003,8,0,1
1,430,1,18,8,2003,12,0,1
6,22331,5,26,7,2003,9,0,1
2,522,2,22,7,2003,12,0,1
5,2929,2,11,7,2003,0,1,1
4,9902,8,10,7,2003,10,0,1
4,1416,2,10,7,2003,9,0,1
6,10994,8,28,6,2003,0,1,1
1,7126,2,23,6,2003,14,0,1
1,1352,4,23,6,2003,8,15,1
4,7633,3,12,6,2003,0,1,1
3,1019,5,11,6,2003,15,34,1
2,19942,3,10,6,2003,10,20,1
7,359,10,1,6,2003,18,0,1
5,1912,1,30,5,2003,11,30,1
3,614,8,28,5,2003,20,30,1
3,1203,2,28,5,2003,14,54,1
2,363,2,27,5,2003,21,0,1
5,9882,7,16,5,2003,12,0,1
4,7126,2,15,5,2003,12,0,1
7,910,5,4,5,2003,14,0,1
3,1407,1,30,4,2003,17,0,1
1,10048,7,14,4,2003,19,0,1
1,146,10,14,4,2003,12,0,1
6,125,2,5,4,2003,14,30,1
4,7519,1,3,4,2003,13,30,1
4,840,5,3,4,2003,12,0,1
4,468,2,3,4,2003,12,0,1
2,1730,10,1,4,2003,14,0,1
2,755,4,1,4,2003,2,0,1
5,4167,6,21,3,2003,0,1,1
3,21869,5,5,3,2003,10,0,1
2,2855,1,4,3,2003,17,0,1
1,7339,6,3,2,2003,8,0,1
4,745,1,23,1,2003,17,45,1
5,2099,5,10,1,2003,0,1,1
4,771,1,9,1,2003,10,0,1
4,1290,1,9,1,2003,9,0,1
1,14853,8,6,1,2003,9,0,1
7,10851,7,28,12,2008,13,0,0
3,8104,1,30,9,2009,0,45,0
5,709,7,28,5,2004,11,45,0
2,631,2,17,5,2011,22,0,0
5,408,2,29,1,2010,13,1,0
2,5672,5,1,4,2014,2,24,0
6,21763,7,17,4,2004,11,20,0
6,16077,7,1,7,2006,0,1,0
3,8445,2,9,3,2011,12,40,0
1,1116,2,10,11,2003,16,45,0
7,1653,3,25,4,2010,7,24,0
5,182,4,14,11,2003,13,55,0
1,619,8,4,4,2005,21,30,0
4,9839,8,21,8,2008,6,30,0
3,15917,1,23,3,2005,19,0,0
1,6359,5,17,3,2008,15,5,0
5,22280,8,5,3,2004,19,0,0
3,2985,5,12,6,2013,15,41,0
6,6689,5,16,11,2013,0,1,0
1,8104,1,19,4,2010,0,15,0
1,6137,4,7,1,2008,22,30,0
1,2790,3,26,4,2004,17,0,0
3,2964,8,22,2,2006,13,15,0
2,93,7,13,12,2005,11,45,0
6,4369,5,23,8,2008,0,8,0
4,10935,8,11,1,2007,0,1,0
7,554,10,9,2,2003,15,25,0
1,7859,3,28,9,2009,8,0,0
1,665,3,15,5,2006,16,0,0
5,1831,5,14,11,2003,21,30,0
5,6787,3,23,9,2005,21,0,0
1,14347,5,23,12,2013,20,0,0
1,83,2,11,7,2005,4,34,0
7,554,10,2,1,2011,10,15,0
2,925,2,28,4,2009,22,40,0
3,346,1,30,11,2011,15,56,0
7,1891,5,23,3,2014,4,55,0
1,7492,9,15,10,2012,18,5,0
2,4676,4,27,5,2003,8,10,0
5,2706,10,3,9,2004,13,25,0
1,1453,10,27,10,2014,23,0,0
2,323,9,22,12,2009,20,30,0
2,859,1,23,6,2009,22,30,0
6,125,2,13,12,2014,12,5,0
7,1154,9,27,7,2008,16,30,0
2,12335,3,17,4,2012,20,0,0
2,13015,9,9,7,2013,16,58,0
2,5422,10,17,9,2013,18,0,0
3,125,2,17,10,2007,10,30,0
3,3329,10,10,11,2004,22,0,0
5,4844,8,22,8,2014,21,0,0
2,548,10,4,3,2003,14,15,0
6,17262,9,5,5,2012,10,30,0
6,7888,6,15,11,2008,7,0,0
7,13265,3,6,4,2014,8,55,0
7,1573,2,29,6,2014,19,45,0
1,13,3,27,5,2013,8,0,0
4,18612,8,19,5,2011,22,0,0
4,1275,10,3,5,2012,6,56,0
1,125,2,23,7,2007,1,0,0
6,8477,5,24,7,2004,13,0,0
1,15243,5,29,10,2012,22,56,0
5,1265,7,15,1,2010,1,52,0
3,1692,6,16,4,2014,11,30,0
5,2783,4,10,3,2006,17,0,0
4,1963,7,12,6,2014,0,34,0
4,4454,4,2,10,2008,21,40,0
5,16316,8,27,6,2003,0,1,0
1,3826,2,11,10,2004,22,30,0
1,3595,1,23,1,2006,21,30,0
5,2498,5,29,6,2007,15,22,0
4,14561,9,26,7,2007,17,0,0
3,905,5,9,6,2004,11,20,0
3,18129,4,7,4,2010,16,0,0
1,63,1,27,10,2008,3,29,0
3,13502,1,25,6,2008,16,0,0
2,8837,8,21,2,2012,10,0,0
5,238,2,17,6,2005,9,0,0
2,2106,6,13,4,2004,8,15,0
7,20548,8,26,3,2006,23,48,0
1,1074,3,25,1,2010,17,30,0
6,3375,5,28,7,2012,21,50,0
5,125,2,6,10,2006,18,30,0
2,1054,3,5,8,2003,12,30,0
1,88,2,4,8,2003,20,27,0
7,15057,8,17,5,2009,22,50,0
5,4450,4,16,11,2012,3,0,0
7,7703,5,19,12,2010,20,55,0
2,1975,2,1,6,2010,12,0,0
5,7068,10,7,3,2003,9,0,0
7,358,6,7,10,2012,21,55,0
1,125,2,12,11,2007,18,0,0
7,1653,3,24,8,2014,21,11,0
4,5782,5,15,11,2012,2,0,0
1,1928,9,20,7,2009,1,5,0
7,10327,5,5,10,2014,13,0,0
2,1202,6,20,1,2015,22,30,0
6,1767,4,7,5,2005,23,0,0
1,15372,4,12,5,2003,17,30,0
2,21785,2,4,2,2003,23,47,0
1,2257,1,5,1,2015,13,0,0
2,4559,4,21,2,2006,22,53,0
6,125,2,21,5,2005,17,0,0
4,1886,9,26,7,2007,23,15,0
3,1791,2,13,11,2013,15,4,0
1,1942,2,7,2,2011,12,42,0
3,999,1,7,3,2007,23,30,0
3,3104,9,20,8,2003,19,6,0
7,7393,8,20,11,2005,7,31,0
3,8323,3,21,3,2007,13,30,0
4,3132,5,19,3,2009,10,25,0
4,1790,1,28,7,2005,11,45,0
5,1431,10,19,10,2007,14,20,0
7,4741,5,7,10,2007,23,30,0
5,12372,9,8,2,2008,15,5,0
1,125,2,3,2,2014,9,25,0
3,14152,9,10,3,2010,2,0,0
1,158,2,10,12,2012,0,1,0
3,1080,8,13,6,2012,8,0,0
1,1969,4,17,3,2008,13,30,0
3,112,4,13,5,2015,17,0,0
3,5316,7,9,8,2006,21,30,0
2,20735,3,4,4,2006,15,52,0
4,2909,2,7,2,2013,9,42,0
5,2091,2,2,11,2012,13,0,0
4,7939,1,28,1,2010,10,34,0
4,3396,10,10,1,2008,17,36,0
4,17080,8,25,8,2005,17,9,0
2,1351,8,1,9,2009,10,10,0
5,6728,1,6,2,2015,18,0,0
4,10840,5,25,7,2013,2,0,0
6,1863,3,6,9,2003,23,37,0
5,20098,1,4,4,2003,17,5,0
5,2398,2,8,8,2003,23,24,0
2,6754,1,24,8,2010,16,0,0
4,12059,1,23,2,2006,8,30,0
3,618,2,13,5,2009,8,0,0
6,892,7,29,12,2012,16,0,0
4,5227,5,7,8,2008,18,0,0
4,6588,1,3,4,2003,9,58,0
1,392,4,26,12,2005,14,25,0
4,363,2,9,1,2014,12,50,0
2,17629,3,8,3,2005,20,31,0
4,1150,2,13,6,2013,19,51,0
2,1065,4,11,12,2007,13,0,0
4,125,2,9,9,2010,12,5,0
2,2016,6,12,1,2010,14,40,0
1,1520,5,16,5,2005,8,30,0
2,2046,2,23,11,2004,15,10,0
1,3972,4,31,3,2003,11,0,0
6,2442,8,4,10,2003,21,30,0
5,277,10,9,1,2009,9,10,0
1,2845,1,5,7,2004,23,30,0
7,20427,9,3,10,2004,9,0,0
3,20457,9,28,11,2007,11,30,0
5,4355,4,24,1,2003,21,0,0
2,3532,3,20,3,2007,19,58,0
6,125,2,22,4,2006,15,0,0
1,10755,6,20,12,2004,13,50,0
5,16856,7,14,5,2004,11,30,0
2,8527,8,1,5,2012,22,30,0
1,125,2,19,1,2009,8,45,0
2,232,4,10,1,2012,8,10,0
7,11040,7,5,9,2004,18,0,0
5,9383,2,13,8,2010,14,59,0
3,631,2,18,2,2015,18,27,0
1,3714,7,22,12,2008,19,45,0
3,9386,3,10,2,2010,8,0,0
6,501,4,8,5,2010,10,38,0
1,13358,8,10,1,2005,20,30,0
7,601,9,15,1,2012,1,0,0
2,3873,1,9,8,2005,12,30,0
3,2909,2,5,8,2009,19,15,0
6,125,2,15,1,2005,9,30,0
4,4531,4,21,8,2008,4,10,0
1,366,10,6,3,2006,9,0,0
3,83,2,24,8,2005,4,25,0
5,1076,5,1,5,2009,15,0,0
4,158,2,29,11,2012,20,30,0
3,10009,5,16,11,2011,0,10,0
6,3465,1,20,9,2008,0,30,0
6,213,4,5,4,2008,17,15,0
1,953,1,2,10,2006,4,10,0
1,1431,10,10,11,2003,2,19,0
7,2414,3,8,4,2007,9,7,0
2,2701,9,13,10,2009,19,55,0
6,3235,1,8,5,2010,11,0,0
2,11707,5,30,10,2012,13,50,0
1,2314,1,11,11,2013,5,50,0
4,4166,1,18,10,2007,6,0,0
1,4609,9,6,2,2012,11,50,0
3,277,10,27,7,2005,21,30,0
7,21876,10,22,8,2004,7,17,0
6,3903,8,3,5,2008,19,3,0
2,977,1,18,9,2012,12,5,0
6,2120,3,5,11,2005,19,47,0
5,289,4,17,10,2014,9,30,0
7,12726,7,14,12,2008,18,30,0
1,3774,2,19,2,2007,14,15,0
2,872,2,3,5,2011,13,45,0
3,12950,6,19,3,2008,20,30,0
2,1587,2,14,6,2011,2,45,0
7,6067,7,31,7,2011,21,30,0
4,2688,10,18,9,2014,22,30,0
2,1792,2,14,4,2015,14,27,0
3,9205,8,28,10,2009,14,45,0
3,499,2,19,2,2003,19,15,0
4,1012,4,6,10,2011,12,35,0
6,2269,2,18,10,2003,9,30,0
5,11094,4,26,6,2009,3,14,0
4,129,2,16,12,2010,13,12,0
2,1920,5,2,5,2006,15,0,0
4,4365,5,25,1,2007,18,20,0
6,1012,4,12,12,2009,1,25,0
5,125,2,11,1,2013,17,50,0
2,408,2,27,7,2010,16,30,0
2,16402,9,5,3,2013,22,0,0
7,17710,8,31,7,2011,3,8,0
2,6406,2,15,10,2013,19,40,0
7,425,5,23,3,2014,21,30,0
5,2178,6,16,10,2009,8,0,0
6,13704,7,25,9,2010,2,26,0
2,8994,5,15,5,2007,12,0,0
5,9543,4,24,1,2003,9,0,0
5,4703,1,11,3,2005,16,45,0
2,2992,9,3,3,2009,13,30,0
5,3144,5,26,3,2010,23,15,0
5,2783,4,6,3,2015,18,51,0
5,5527,5,8,10,2010,12,38,0
2,331,2,31,5,2011,5,20,0
7,4682,1,4,12,2011,16,32,0
2,273,1,28,10,2003,11,58,0
4,230,1,5,2,2015,18,0,0
2,2222,1,25,1,2011,21,30,0
2,359,10,10,6,2008,10,45,0
7,1951,2,13,3,2011,16,50,0
1,15487,7,29,10,2012,20,0,0
3,511,4,26,11,2003,12,15,0
3,1520,5,12,5,2004,23,38,0
2,631,2,31,10,2006,18,30,0
4,2121,9,2,9,2004,16,0,0
3,6832,3,20,4,2011,14,18,0
2,522,2,24,11,2009,14,10,0
2,6855,8,20,7,2004,14,30,0
4,2346,2,6,3,2008,17,0,0
4,4015,2,7,8,2014,20,23,0
6,7533,8,1,1,2011,0,1,0
3,549,4,5,3,2003,22,40,0
3,15376,6,16,4,2008,17,0,0
