"day","address","location","date","month","year","hour","min","EXTORTION"
5,3619,2,3,4,2015,22,15,1
5,1351,8,20,3,2015,11,0,1
5,1254,2,6,3,2015,0,1,1
6,4611,4,21,2,2015,19,0,1
4,1674,8,13,11,2014,10,0,1
6,298,9,18,10,2014,22,0,1
6,220,4,28,6,2014,1,0,1
6,2792,4,14,6,2014,2,51,1
1,6667,8,9,6,2014,12,0,1
4,4954,1,29,5,2014,8,0,1
6,88,2,19,4,2014,5,13,1
7,12044,9,6,4,2014,8,30,1
4,125,2,3,4,2014,9,31,1
3,3406,1,5,3,2014,12,0,1
3,9148,4,5,2,2014,23,0,1
2,4537,1,21,1,2014,22,30,1
6,7623,4,14,12,2013,0,1,1
4,419,5,12,12,2013,21,0,1
4,2660,4,12,12,2013,11,0,1
2,1831,5,12,11,2013,18,0,1
2,1427,1,29,10,2013,22,0,1
1,1340,7,28,10,2013,14,0,1
7,8344,7,20,10,2013,9,56,1
4,1769,3,17,10,2013,23,0,1
2,2790,3,1,10,2013,12,0,1
7,8228,9,8,9,2013,16,0,1
3,386,2,21,8,2013,12,26,1
4,213,4,16,5,2013,1,30,1
3,2045,6,1,5,2013,9,0,1
3,15034,9,1,5,2013,0,1,1
6,114,8,20,4,2013,11,45,1
5,646,6,19,4,2013,16,0,1
5,323,9,5,4,2013,12,10,1
2,1550,1,2,4,2013,14,21,1
5,6654,9,8,3,2013,15,30,1
1,125,2,18,2,2013,23,53,1
4,1074,3,24,1,2013,12,0,1
6,621,3,12,1,2013,12,0,1
1,14415,8,26,11,2012,14,0,1
5,208,1,19,10,2012,7,43,1
1,3044,4,1,10,2012,12,0,1
4,1169,5,20,9,2012,10,15,1
3,125,2,22,8,2012,0,1,1
6,6887,6,28,7,2012,0,28,1
5,3918,4,13,7,2012,16,0,1
3,8074,2,27,6,2012,8,0,1
7,213,4,17,6,2012,8,0,1
1,16300,10,28,5,2012,14,0,1
7,9788,4,20,5,2012,16,35,1
6,17700,1,19,5,2012,0,45,1
4,1809,10,3,5,2012,13,48,1
3,722,8,18,4,2012,2,30,1
5,232,4,27,1,2012,23,30,1
1,9260,3,23,1,2012,14,0,1
7,2121,9,1,1,2012,0,1,1
7,7606,7,1,1,2012,0,1,1
3,7792,1,30,11,2011,13,47,1
1,16042,8,28,11,2011,15,30,1
3,5985,3,2,11,2011,22,30,1
3,2483,1,19,10,2011,11,45,1
1,196,5,17,10,2011,9,0,1
1,856,9,3,10,2011,19,0,1
2,1584,5,20,9,2011,7,40,1
7,6353,7,28,8,2011,21,0,1
7,9357,9,28,8,2011,10,30,1
7,5389,5,14,8,2011,17,0,1
7,772,10,17,7,2011,1,8,1
5,2075,7,15,7,2011,16,52,1
3,4627,8,4,5,2011,9,45,1
6,979,4,23,4,2011,18,30,1
4,16862,9,21,4,2011,11,0,1
2,9877,1,19,4,2011,0,1,1
3,6388,8,23,3,2011,18,50,1
5,14026,4,11,3,2011,10,0,1
4,5782,5,10,2,2011,20,15,1
1,6193,2,24,1,2011,10,40,1
6,125,2,1,1,2011,0,1,1
2,601,9,2,11,2010,11,30,1
1,12152,5,1,11,2010,0,1,1
6,6525,2,23,10,2010,13,29,1
4,3447,5,23,9,2010,22,0,1
2,13,3,21,9,2010,15,44,1
4,2101,1,26,8,2010,12,0,1
7,114,8,1,8,2010,0,1,1
2,6183,2,27,7,2010,10,30,1
4,1747,9,1,7,2010,8,0,1
1,3786,1,28,6,2010,14,0,1
1,125,2,3,5,2010,12,0,1
7,2023,5,25,4,2010,9,30,1
3,1455,1,21,4,2010,20,0,1
5,9884,7,9,4,2010,10,0,1
4,1306,2,25,3,2010,9,30,1
3,11031,8,24,3,2010,18,0,1
3,19357,8,24,3,2010,3,0,1
7,5024,8,28,2,2010,12,0,1
6,357,4,27,2,2010,13,42,1
7,12026,8,14,2,2010,10,10,1
4,15842,8,11,2,2010,18,40,1
4,3388,2,11,2,2010,15,0,1
5,476,9,29,1,2010,15,10,1
4,2077,4,28,1,2010,11,0,1
6,5491,3,16,1,2010,16,50,1
6,5917,9,12,12,2009,22,0,1
2,12689,8,8,12,2009,17,35,1
7,601,9,29,11,2009,17,25,1
7,2743,1,29,11,2009,15,15,1
3,318,6,25,11,2009,0,1,1
7,5077,9,15,11,2009,12,0,1
3,408,2,14,10,2009,16,20,1
2,213,4,4,8,2009,12,0,1
5,213,4,24,7,2009,6,0,1
4,5532,3,25,6,2009,22,0,1
7,11055,9,31,5,2009,17,10,1
7,3147,9,31,5,2009,11,22,1
7,4166,1,17,5,2009,0,1,1
5,5077,9,15,5,2009,13,0,1
5,18934,9,15,5,2009,0,1,1
3,1571,7,13,5,2009,16,30,1
2,2743,1,12,5,2009,13,10,1
5,5088,7,17,4,2009,12,55,1
2,2743,1,14,4,2009,14,15,1
2,1733,1,14,4,2009,14,0,1
2,9589,9,14,4,2009,10,40,1
2,2802,5,14,4,2009,10,30,1
2,125,2,14,4,2009,6,33,1
2,2743,1,14,4,2009,6,15,1
3,3929,9,1,4,2009,11,46,1
3,6214,1,1,4,2009,10,15,1
3,5191,8,1,4,2009,9,50,1
2,4569,7,31,3,2009,11,6,1
6,1571,7,21,3,2009,10,15,1
3,4102,6,18,3,2009,16,0,1
1,139,2,16,2,2009,12,0,1
6,1974,1,7,2,2009,20,30,1
6,9020,9,24,1,2009,9,0,1
4,7343,10,25,12,2008,2,25,1
7,9507,8,14,12,2008,12,0,1
4,4317,4,11,12,2008,12,0,1
2,125,2,25,11,2008,12,50,1
3,19305,9,15,10,2008,3,0,1
7,7766,4,7,9,2008,0,1,1
2,4676,4,2,9,2008,9,10,1
6,1299,5,23,8,2008,5,0,1
4,8008,7,21,8,2008,19,0,1
7,2329,1,10,8,2008,14,50,1
2,8932,7,5,8,2008,15,0,1
3,1984,9,9,7,2008,22,10,1
7,145,3,29,6,2008,2,55,1
5,7212,8,27,6,2008,2,35,1
4,3397,1,26,6,2008,23,30,1
4,468,2,26,6,2008,4,56,1
7,2542,1,1,6,2008,0,1,1
4,125,2,29,5,2008,19,45,1
4,1615,2,1,5,2008,12,0,1
7,92,1,20,4,2008,13,45,1
2,1103,5,1,4,2008,0,1,1
2,6087,8,4,3,2008,15,0,1
6,6198,2,9,2,2008,7,37,1
3,4242,9,23,1,2008,13,30,1
1,125,2,7,1,2008,1,0,1
6,14943,9,3,11,2007,8,30,1
3,6360,2,17,10,2007,0,1,1
1,2546,1,15,10,2007,12,0,1
6,6331,8,22,9,2007,9,0,1
4,14268,5,6,9,2007,7,45,1
7,435,10,26,8,2007,10,0,1
4,1431,10,9,8,2007,9,30,1
4,818,1,26,7,2007,19,51,1
7,3419,8,1,7,2007,0,1,1
3,1100,5,27,6,2007,10,41,1
2,3048,7,26,6,2007,8,30,1
3,6313,3,30,5,2007,11,15,1
2,2138,1,29,5,2007,22,0,1
7,7257,8,20,5,2007,0,44,1
6,1472,5,19,5,2007,16,0,1
1,5537,7,14,5,2007,14,0,1
1,2755,2,14,5,2007,12,0,1
5,4502,1,20,4,2007,23,30,1
2,125,2,6,3,2007,11,30,1
5,4991,4,12,1,2007,17,0,1
7,13510,9,17,12,2006,16,0,1
5,10292,7,17,11,2006,19,49,1
5,3026,5,6,10,2006,8,0,1
2,4954,1,3,10,2006,15,0,1
4,125,2,21,9,2006,0,45,1
6,3923,3,12,8,2006,0,30,1
2,19195,9,25,7,2006,0,1,1
1,2240,9,24,7,2006,13,30,1
1,2807,5,10,7,2006,20,50,1
3,4020,4,28,6,2006,7,45,1
7,3714,7,4,6,2006,0,45,1
4,1020,5,4,5,2006,2,10,1
5,1345,1,7,4,2006,17,0,1
3,2262,2,5,4,2006,17,30,1
3,9205,8,8,3,2006,14,35,1
2,2995,5,21,2,2006,15,30,1
3,4231,9,8,2,2006,13,37,1
7,1220,10,1,1,2006,0,1,1
1,648,2,28,11,2005,13,15,1
6,2170,5,19,11,2005,1,10,1
5,16028,9,4,11,2005,12,45,1
2,125,2,1,11,2005,12,0,1
5,4668,1,21,10,2005,1,0,1
4,2792,4,6,10,2005,8,29,1
6,8839,4,24,9,2005,23,45,1
5,1592,1,23,9,2005,22,0,1
5,92,1,23,9,2005,10,30,1
5,1160,1,23,9,2005,8,55,1
1,11366,1,13,6,2005,19,5,1
1,501,4,13,6,2005,0,1,1
7,2234,7,5,6,2005,17,0,1
7,5017,2,8,5,2005,3,0,1
3,1690,2,4,5,2005,15,45,1
4,2143,8,23,12,2004,23,45,1
3,8495,7,8,12,2004,15,55,1
4,9231,1,11,11,2004,7,25,1
4,4628,9,14,10,2004,9,30,1
4,6925,8,30,9,2004,11,0,1
1,277,10,13,9,2004,20,0,1
5,176,1,3,9,2004,8,30,1
7,18506,2,22,8,2004,19,0,1
3,421,1,18,8,2004,11,57,1
2,3126,1,17,8,2004,15,0,1
2,745,1,17,8,2004,0,1,1
6,474,9,7,8,2004,8,45,1
6,1133,7,7,8,2004,0,45,1
5,2718,6,9,7,2004,14,0,1
2,5802,5,6,7,2004,12,0,1
7,1358,6,13,6,2004,13,0,1
5,263,1,11,6,2004,21,59,1
2,16987,3,8,6,2004,13,0,1
4,83,2,27,5,2004,14,45,1
3,10155,8,26,5,2004,16,15,1
1,4301,2,24,5,2004,18,54,1
2,10546,2,11,5,2004,10,0,1
2,7677,1,30,3,2004,22,30,1
6,9252,7,20,3,2004,10,30,1
4,2858,1,4,3,2004,18,10,1
3,5844,5,4,2,2004,15,0,1
5,11378,9,23,1,2004,1,5,1
3,3714,7,21,1,2004,22,0,1
1,2858,1,5,1,2004,16,25,1
6,6460,8,1,11,2003,0,1,1
4,9702,7,16,10,2003,1,22,1
3,2858,1,1,10,2003,0,1,1
2,3106,9,30,9,2003,22,0,1
1,413,1,15,9,2003,17,9,1
6,3505,7,6,9,2003,14,0,1
5,13709,1,8,8,2003,16,52,1
7,2101,1,1,6,2003,12,0,1
7,14761,8,1,6,2003,8,0,1
3,16692,6,14,5,2003,7,10,1
1,5098,5,12,5,2003,13,19,1
5,9403,1,18,4,2003,21,30,1
1,7516,1,14,4,2003,10,0,1
5,125,2,21,3,2003,12,0,1
5,2974,9,13,7,2007,18,50,0
6,3560,4,14,7,2012,1,30,0
2,272,8,21,12,2004,10,15,0
4,1732,3,14,12,2006,8,30,0
6,7275,9,5,9,2009,13,0,0
6,13270,10,31,10,2009,10,47,0
6,14303,7,22,5,2010,15,30,0
6,283,10,18,12,2010,23,0,0
6,1393,10,23,9,2006,9,16,0
1,10998,9,6,9,2010,13,0,0
2,2438,5,13,10,2009,14,0,0
1,1809,10,11,7,2011,12,15,0
4,2601,3,11,8,2011,11,30,0
5,1215,6,22,9,2006,15,10,0
2,479,9,15,10,2013,12,0,0
2,3033,3,5,9,2006,21,10,0
1,936,4,6,8,2007,10,15,0
2,1516,4,25,5,2004,14,21,0
1,485,2,16,5,2005,10,0,0
3,772,10,29,10,2003,22,26,0
5,2579,2,13,1,2012,14,21,0
5,139,2,26,6,2009,15,45,0
6,1039,5,29,5,2004,15,54,0
4,3497,8,3,5,2012,22,0,0
5,125,2,23,9,2005,22,0,0
1,3561,3,14,6,2010,18,30,0
7,9009,3,13,7,2008,1,36,0
7,211,5,7,9,2014,14,0,0
4,2738,3,17,4,2003,22,0,0
5,8805,7,15,1,2010,8,30,0
4,1066,10,30,4,2015,12,25,0
7,631,2,24,2,2008,14,55,0
6,118,2,6,10,2007,11,45,0
4,1876,8,9,3,2006,18,0,0
2,787,5,5,10,2010,13,27,0
3,772,10,4,2,2004,16,50,0
6,9548,1,4,9,2004,0,30,0
6,125,2,1,6,2013,12,0,0
5,2450,3,11,1,2008,21,45,0
7,3036,8,14,3,2010,21,0,0
6,1977,9,12,3,2011,0,1,0
2,1593,2,19,9,2006,22,0,0
5,2076,6,6,4,2007,14,47,0
6,14615,8,22,5,2010,14,28,0
7,2632,5,22,3,2009,6,55,0
3,1220,10,7,3,2007,18,0,0
4,8036,2,1,12,2011,18,56,0
6,8196,5,24,1,2004,8,26,0
3,4258,6,3,11,2010,22,0,0
1,15453,3,24,6,2013,18,20,0
5,9463,3,8,2,2013,19,30,0
5,969,2,5,9,2008,12,44,0
6,17464,1,8,9,2007,19,25,0
6,2041,10,30,6,2007,16,30,0
5,1526,7,7,2,2003,15,0,0
3,2320,9,18,10,2006,16,0,0
6,4478,4,17,6,2006,1,53,0
6,8771,2,1,11,2008,12,30,0
4,5136,7,8,1,2009,16,50,0
5,12759,6,16,4,2004,4,0,0
3,4470,9,26,6,2013,1,55,0
5,125,2,1,6,2012,18,0,0
5,645,3,1,12,2006,13,0,0
7,548,10,31,10,2004,21,0,0
5,2909,2,6,3,2009,22,3,0
1,957,2,28,5,2007,5,45,0
3,821,10,8,8,2012,14,15,0
5,4470,9,18,9,2009,5,51,0
2,5216,1,27,11,2007,12,0,0
1,9220,8,24,11,2014,15,20,0
5,510,1,26,12,2008,16,0,0
1,837,8,23,1,2006,21,10,0
5,5384,5,25,7,2003,8,31,0
6,125,2,27,7,2013,14,15,0
2,7660,7,15,9,2009,13,0,0
4,2270,1,20,10,2005,12,20,0
7,11208,5,10,8,2014,14,0,0
3,2183,9,18,3,2009,3,45,0
1,468,2,28,9,2009,9,15,0
4,15,10,25,8,2011,4,17,0
5,6132,8,30,5,2014,13,0,0
2,13485,7,6,9,2005,23,30,0
4,51,2,12,6,2014,19,0,0
3,12490,1,17,10,2007,18,30,0
3,6400,1,29,5,2013,13,30,0
3,222,5,24,7,2013,22,38,0
3,4362,5,19,4,2006,15,53,0
1,1277,2,4,8,2008,17,30,0
3,6420,2,29,9,2004,9,33,0
3,233,8,2,11,2005,17,20,0
5,2618,3,11,7,2008,9,30,0
7,736,4,12,2,2006,21,45,0
1,3424,1,26,5,2008,11,0,0
3,3398,5,30,11,2005,8,25,0
2,64,4,24,1,2012,21,35,0
1,528,10,7,6,2004,0,30,0
4,5090,3,14,11,2013,9,55,0
7,8680,4,28,12,2008,17,0,0
2,7491,5,4,3,2003,17,24,0
5,22,10,12,8,2011,12,45,0
3,2828,8,30,9,2009,18,18,0
3,2753,3,22,12,2004,6,0,0
3,872,2,24,1,2007,16,30,0
3,3057,4,8,1,2014,3,0,0
5,1622,5,2,12,2005,16,5,0
2,704,2,8,1,2013,8,36,0
4,501,4,5,10,2006,16,0,0
2,1292,2,5,8,2014,17,0,0
6,893,10,17,12,2005,9,16,0
5,121,1,8,8,2014,10,0,0
6,125,2,11,2,2006,14,0,0
2,1935,5,17,3,2009,23,0,0
1,957,2,13,11,2006,23,25,0
7,125,2,14,12,2014,14,5,0
4,16014,6,16,5,2013,19,25,0
7,1722,2,4,7,2010,2,21,0
7,363,2,20,4,2008,5,15,0
3,36,2,1,11,2006,18,59,0
3,22128,4,18,8,2004,13,20,0
3,8500,4,28,5,2003,19,0,0
2,5017,2,17,3,2009,15,0,0
5,7825,4,7,3,2003,10,30,0
1,13269,9,18,4,2005,14,30,0
2,511,4,22,12,2009,14,15,0
3,369,5,16,11,2005,18,0,0
3,2708,5,22,2,2012,9,54,0
3,4646,8,1,10,2008,16,46,0
7,12826,9,17,6,2012,18,0,0
1,2270,1,23,11,2009,18,30,0
6,4298,10,27,12,2014,18,0,0
7,1580,10,10,9,2006,7,54,0
5,468,2,17,12,2010,3,35,0
2,4582,1,31,5,2005,3,30,0
7,4875,2,6,9,2009,3,8,0
3,528,10,8,7,2009,11,8,0
1,14241,8,28,4,2003,5,30,0
3,2616,1,24,6,2009,6,0,0
2,4528,5,28,6,2005,3,0,0
4,5454,8,15,5,2003,10,0,0
7,2911,10,26,12,2004,21,13,0
5,5932,5,4,11,2011,2,12,0
1,125,2,28,4,2014,5,38,0
4,2312,3,21,9,2006,0,1,0
2,5014,4,18,9,2007,6,25,0
3,138,10,23,8,2006,18,55,0
7,757,3,15,6,2014,22,34,0
6,4786,9,28,1,2012,10,0,0
3,8716,9,24,2,2010,9,0,0
1,548,10,28,11,2005,12,10,0
2,4496,9,3,9,2013,14,35,0
6,1951,2,19,4,2014,11,26,0
7,88,2,14,12,2003,13,5,0
6,2255,5,2,6,2007,6,19,0
5,125,2,23,1,2015,23,46,0
7,11619,7,26,2,2006,1,0,0
5,3376,10,19,10,2007,1,15,0
7,4297,8,12,9,2010,14,45,0
2,551,5,23,11,2004,12,0,0
1,15058,3,29,9,2008,22,45,0
2,442,2,8,6,2004,18,29,0
1,5319,1,27,5,2013,7,19,0
5,213,4,3,10,2003,21,54,0
5,269,1,15,10,2004,21,30,0
2,88,2,2,11,2010,15,30,0
4,70,10,10,6,2004,15,29,0
4,1055,2,13,1,2011,0,1,0
3,13689,9,23,6,2004,3,8,0
2,2432,5,6,9,2005,21,30,0
3,83,2,23,1,2013,11,54,0
6,1150,2,27,12,2014,8,5,0
1,20688,7,27,10,2003,1,0,0
6,831,4,23,2,2013,1,50,0
6,5466,8,24,3,2007,17,0,0
2,5408,5,30,11,2010,23,59,0
5,8436,2,11,8,2006,16,0,0
1,1359,2,4,8,2003,11,0,0
4,10938,5,14,10,2004,21,0,0
6,7481,3,5,5,2007,17,5,0
5,2878,1,28,7,2006,10,30,0
1,7165,1,26,12,2011,17,30,0
4,5279,3,27,11,2008,14,0,0
5,17226,8,24,8,2012,18,20,0
3,8251,5,21,3,2007,21,0,0
3,1362,5,13,11,2013,12,15,0
1,13967,3,14,6,2010,0,13,0
2,8096,5,6,3,2007,11,14,0
6,3396,10,26,7,2014,19,15,0
2,22275,5,6,7,2004,16,13,0
4,1255,6,10,6,2004,9,5,0
7,11419,9,28,6,2009,14,45,0
4,359,10,17,10,2013,16,15,0
7,6819,2,31,7,2011,2,0,0
5,11078,9,15,10,2004,18,0,0
4,4533,2,28,6,2007,2,53,0
3,1809,10,20,4,2005,19,0,0
5,4811,8,14,11,2008,14,30,0
7,4912,2,9,10,2011,3,53,0
4,2927,2,20,2,2014,21,25,0
7,2463,2,14,12,2003,16,0,0
7,1116,2,1,7,2007,2,45,0
3,146,10,1,4,2015,17,58,0
1,83,2,1,9,2003,17,6,0
6,125,2,27,6,2009,16,10,0
7,6811,3,14,2,2010,7,15,0
6,2741,4,12,7,2008,11,30,0
7,3667,2,1,6,2003,11,15,0
5,4208,6,28,11,2014,2,37,0
2,4645,5,8,7,2003,16,19,0
5,11748,5,15,5,2009,16,0,0
6,4441,5,9,8,2003,18,40,0
7,12294,9,9,8,2009,1,15,0
2,9925,5,22,12,2009,17,0,0
7,11304,8,18,4,2004,12,0,0
7,22038,3,2,11,2003,16,50,0
5,301,2,9,3,2007,23,0,0
3,4020,4,23,7,2003,16,55,0
7,15029,6,4,5,2003,13,0,0
6,2310,9,23,8,2014,11,0,0
4,4645,5,8,9,2005,18,20,0
3,10966,8,5,10,2005,9,0,0
6,564,10,18,6,2011,7,25,0
1,3168,7,26,12,2011,1,56,0
7,10321,9,5,10,2014,14,0,0
6,2831,4,18,5,2013,14,18,0
5,17263,8,4,5,2007,17,15,0
2,2821,2,14,4,2015,15,40,0
2,354,10,11,5,2004,22,50,0
4,7671,3,5,4,2007,15,0,0
1,926,4,21,1,2008,17,0,0
4,1780,4,9,7,2009,10,37,0
5,7942,5,11,8,2006,20,0,0
4,125,2,2,6,2011,8,30,0
4,15963,3,16,12,2010,10,17,0
3,13101,6,21,3,2007,17,16,0
1,6270,2,20,3,2006,14,15,0
7,7923,1,16,6,2013,21,50,0
4,4368,5,20,8,2009,1,25,0
2,10895,5,23,6,2009,0,1,0
4,16089,6,2,5,2013,16,15,0
2,211,5,12,11,2013,22,20,0
2,359,10,14,10,2014,12,39,0
6,501,4,12,7,2008,21,7,0
7,23,5,2,1,2011,19,45,0
6,3308,4,4,6,2005,0,9,0
1,408,2,24,12,2007,13,30,0
5,17929,1,9,2,2007,21,0,0
7,15495,3,22,2,2009,22,31,0
7,4111,10,4,10,2009,21,30,0
7,9702,7,14,3,2010,3,10,0
1,11882,9,21,7,2014,19,0,0
3,1485,5,4,8,2004,23,0,0
3,125,2,1,4,2015,15,0,0
5,17851,3,21,2,2003,2,0,0
7,125,2,1,8,2010,16,44,0
7,2538,9,13,3,2011,4,10,0
6,2869,10,7,4,2007,19,52,0
