"day","address","location","date","month","year","hour","min","SEXOFFENSESNONFORCIBLE"
2,516,4,14,4,2015,1,0,1
4,2563,10,2,4,2015,23,0,1
3,4846,9,18,3,2015,11,30,1
6,4611,4,21,2,2015,19,0,1
4,550,3,18,9,2014,6,0,1
7,1558,1,24,8,2014,9,0,1
2,8644,6,19,8,2014,12,0,1
7,9397,4,10,8,2014,20,0,1
4,1275,10,7,8,2014,23,0,1
2,6222,9,8,7,2014,14,0,1
4,9247,8,29,5,2014,0,1,1
2,9810,5,27,5,2014,14,22,1
2,198,1,27,5,2014,13,30,1
2,347,8,15,4,2014,9,36,1
1,3204,8,17,2,2014,14,30,1
5,11848,7,24,1,2014,2,57,1
7,7158,9,1,12,2013,0,1,1
3,501,4,13,11,2013,12,0,1
5,8073,8,1,11,2013,14,30,1
5,144,4,1,11,2013,0,1,1
4,10724,3,5,9,2013,16,0,1
6,3010,1,29,6,2013,6,0,1
5,6504,3,31,5,2013,22,0,1
1,8812,4,18,3,2013,17,0,1
1,1331,4,4,3,2013,19,0,1
7,3204,8,21,10,2012,10,0,1
1,1378,6,20,8,2012,7,50,1
3,1300,6,13,6,2012,11,0,1
5,125,2,18,5,2012,15,30,1
4,2419,8,22,3,2012,11,0,1
2,125,2,20,3,2012,13,0,1
7,3912,6,11,3,2012,8,0,1
2,1783,4,21,2,2012,20,0,1
3,7687,3,8,2,2012,0,33,1
6,534,4,14,1,2012,18,30,1
4,205,8,12,1,2012,15,0,1
3,1786,8,11,1,2012,11,2,1
6,643,4,31,12,2011,0,1,1
4,109,1,1,12,2011,18,0,1
7,3694,8,28,8,2011,16,0,1
6,8893,8,13,8,2011,18,0,1
5,9839,8,12,8,2011,12,0,1
1,5819,4,11,7,2011,23,24,1
6,125,2,26,3,2011,14,0,1
3,10916,9,23,2,2011,20,8,1
5,2265,4,11,2,2011,19,0,1
3,4059,8,26,1,2011,14,0,1
2,2559,5,14,12,2010,5,50,1
2,1351,8,16,11,2010,21,35,1
1,4032,3,6,9,2010,9,16,1
7,16273,7,15,8,2010,0,55,1
7,15736,9,1,8,2010,12,0,1
5,13607,3,30,7,2010,11,35,1
3,8259,4,14,7,2010,15,0,1
6,125,2,3,7,2010,11,0,1
4,7400,5,1,7,2010,0,1,1
2,403,7,1,6,2010,0,1,1
7,12087,5,23,5,2010,14,35,1
1,2419,8,19,4,2010,12,0,1
3,7524,5,24,3,2010,13,5,1
3,125,2,27,1,2010,20,0,1
2,3981,7,12,1,2010,21,30,1
1,4280,4,11,1,2010,0,1,1
7,408,2,27,12,2009,18,0,1
5,6084,3,13,11,2009,9,45,1
2,23,5,15,9,2009,0,1,1
2,4892,4,1,9,2009,8,0,1
6,10078,7,22,8,2009,12,0,1
6,6100,8,21,3,2009,19,0,1
2,4244,3,6,1,2009,11,15,1
5,7114,6,31,10,2008,11,30,1
6,4571,5,4,10,2008,18,0,1
3,2915,4,3,9,2008,0,5,1
1,10234,8,1,9,2008,8,25,1
7,4076,4,1,6,2008,0,1,1
1,2472,8,24,12,2007,17,15,1
5,13339,8,30,11,2007,0,1,1
5,501,4,30,11,2007,0,1,1
5,478,1,2,11,2007,22,30,1
5,6043,9,2,11,2007,12,0,1
1,501,4,29,10,2007,16,46,1
2,16838,9,16,10,2007,13,0,1
3,2267,2,3,10,2007,6,45,1
3,328,10,5,9,2007,16,0,1
7,3191,4,29,7,2007,0,15,1
5,731,2,1,6,2007,0,1,1
3,727,4,30,5,2007,13,0,1
6,93,7,19,5,2007,13,0,1
5,13352,3,18,5,2007,18,0,1
2,125,2,1,5,2007,0,1,1
6,310,8,10,2,2007,15,0,1
6,125,2,10,2,2007,13,0,1
5,1209,1,26,1,2007,0,1,1
3,887,7,24,1,2007,14,0,1
2,6719,7,23,1,2007,22,0,1
5,3773,3,3,11,2006,18,30,1
3,1732,3,20,9,2006,8,0,1
6,9259,3,9,9,2006,12,0,1
2,8925,5,11,7,2006,15,0,1
3,125,2,14,6,2006,15,10,1
1,125,2,12,6,2006,23,0,1
6,4249,9,6,5,2006,12,0,1
5,13431,3,5,5,2006,16,0,1
5,15417,4,5,5,2006,13,50,1
1,2321,3,1,5,2006,0,1,1
4,1403,4,9,3,2006,0,1,1
3,11988,4,8,3,2006,22,30,1
6,3359,4,25,2,2006,22,20,1
1,2206,3,9,1,2006,12,30,1
7,11306,4,1,1,2006,12,0,1
7,14851,9,1,1,2006,8,0,1
5,2868,7,23,9,2005,9,0,1
3,7112,9,1,6,2005,12,0,1
1,979,4,16,5,2005,12,0,1
1,7764,4,2,5,2005,7,30,1
6,3618,2,26,3,2005,1,30,1
4,455,2,24,3,2005,13,15,1
4,501,4,10,3,2005,6,30,1
5,4891,4,11,2,2005,0,1,1
5,2430,8,14,1,2005,11,0,1
3,125,2,8,12,2004,10,10,1
1,1524,3,6,12,2004,9,31,1
1,5275,4,11,10,2004,13,0,1
5,3491,4,1,10,2004,9,0,1
2,7068,10,28,9,2004,10,0,1
3,3404,3,15,9,2004,0,4,1
6,125,2,21,8,2004,9,0,1
7,22235,3,11,7,2004,20,30,1
1,268,1,5,7,2004,1,0,1
5,528,10,25,6,2004,14,0,1
7,2792,4,2,5,2004,20,0,1
4,3334,5,15,4,2004,14,45,1
6,1222,9,3,4,2004,17,25,1
4,855,4,18,3,2004,12,0,1
2,417,3,16,9,2003,23,0,1
5,21763,7,5,9,2003,19,0,1
6,3783,4,23,8,2003,20,12,1
1,9132,8,23,6,2003,11,0,1
1,10359,3,9,6,2003,21,9,1
1,4053,9,9,6,2003,12,45,1
2,15138,8,27,5,2003,22,0,1
4,298,9,1,5,2003,0,1,1
5,12938,9,18,4,2003,8,0,1
2,9207,6,1,4,2003,12,0,1
1,339,3,17,3,2003,15,0,1
6,125,2,22,2,2003,13,30,1
3,3716,3,19,2,2003,11,40,1
5,1588,9,24,1,2003,21,33,1
5,2630,5,4,4,2003,19,0,0
4,1594,3,1,7,2010,16,0,0
7,4607,9,18,12,2011,19,0,0
2,713,4,10,6,2008,20,58,0
2,8614,8,25,5,2004,3,20,0
7,7986,4,8,5,2005,21,30,0
2,673,10,1,9,2009,0,1,0
5,5479,5,4,11,2005,14,34,0
2,303,8,20,3,2012,14,30,0
2,13247,7,18,3,2003,22,0,0
6,10350,2,19,4,2008,23,55,0
5,102,10,14,12,2007,20,7,0
2,3376,10,9,3,2010,14,20,0
5,2365,5,24,9,2010,17,0,0
4,2490,3,24,1,2008,10,30,0
7,2214,1,22,3,2009,21,0,0
7,12350,8,14,12,2003,17,20,0
3,144,4,25,6,2014,11,5,0
5,1789,4,9,7,2004,18,0,0
7,9356,4,20,5,2007,2,27,0
6,1077,4,20,10,2007,17,50,0
4,10232,1,27,12,2007,17,27,0
1,6393,3,7,7,2014,20,0,0
7,1039,5,18,10,2009,20,20,0
3,11954,9,25,1,2012,17,0,0
4,15869,8,13,6,2013,11,30,0
4,5150,4,13,11,2014,14,18,0
1,644,1,12,11,2007,13,7,0
4,27,5,1,7,2010,13,0,0
1,125,2,14,4,2003,18,0,0
3,10236,6,24,7,2013,8,16,0
5,1803,8,7,3,2014,8,0,0
7,2388,2,30,6,2013,6,4,0
6,64,4,16,10,2004,16,3,0
5,15746,5,18,4,2003,20,15,0
4,14723,9,22,4,2010,18,0,0
6,1764,1,15,7,2006,11,0,0
5,658,6,1,12,2006,11,55,0
6,746,4,31,5,2003,16,0,0
5,927,1,8,2,2008,19,0,0
4,6438,4,20,10,2005,16,0,0
6,4559,4,17,12,2005,17,50,0
1,872,2,2,10,2006,3,20,0
1,5825,9,3,9,2012,12,20,0
6,2834,4,7,5,2011,18,40,0
5,9328,9,2,11,2007,17,0,0
6,7287,2,8,8,2009,1,23,0
4,125,2,10,7,2008,15,0,0
1,5143,4,24,1,2011,18,30,0
1,4464,5,21,7,2003,10,0,0
5,2984,9,11,7,2014,10,40,0
3,18653,1,4,5,2011,2,0,0
6,7764,4,11,2,2012,1,30,0
3,10431,4,24,11,2004,18,0,0
7,2140,2,14,6,2009,17,20,0
7,220,4,29,6,2014,1,0,0
5,1085,5,18,4,2008,12,0,0
4,1642,10,15,5,2003,0,48,0
3,591,9,22,12,2004,18,30,0
4,7186,3,7,4,2011,19,0,0
2,17072,4,30,9,2008,18,0,0
7,283,10,28,3,2010,0,55,0
6,11002,9,29,1,2005,18,0,0
4,20148,9,11,12,2003,0,54,0
7,5188,7,8,3,2015,12,0,0
3,12332,9,1,12,2010,12,0,0
1,858,8,17,4,2006,17,10,0
7,1288,3,20,6,2010,12,0,0
6,468,2,21,3,2009,13,0,0
5,3918,4,2,10,2009,15,20,0
3,2008,5,26,7,2006,9,30,0
5,4435,3,9,3,2012,22,15,0
6,9200,8,12,12,2009,23,0,0
2,14973,7,1,5,2007,14,0,0
5,10678,1,11,8,2006,10,30,0
2,1039,5,8,7,2014,10,20,0
6,408,2,22,9,2007,14,39,0
3,99,8,9,1,2013,17,30,0
5,7537,7,2,12,2005,8,0,0
5,5787,3,26,12,2014,16,20,0
5,2917,1,16,5,2014,20,10,0
2,12075,9,7,8,2007,15,45,0
2,12634,9,31,8,2004,7,10,0
4,6190,4,2,9,2004,22,0,0
6,1399,10,23,8,2003,20,40,0
2,159,6,19,4,2011,18,48,0
3,1499,7,19,3,2008,9,30,0
4,2016,6,6,8,2009,12,5,0
6,4469,8,26,6,2004,23,30,0
5,468,2,27,6,2014,15,6,0
6,1915,5,5,11,2011,21,0,0
7,2420,8,13,3,2011,8,50,0
5,5127,8,4,10,2013,1,45,0
5,878,10,8,4,2005,19,0,0
6,15012,3,8,5,2010,21,24,0
3,11971,2,28,7,2010,15,45,0
5,125,2,23,8,2013,18,0,0
1,20408,4,9,6,2003,22,0,0
5,3147,9,2,6,2006,21,0,0
2,5920,9,1,4,2003,8,0,0
7,555,3,19,6,2005,7,30,0
4,501,4,2,5,2013,9,0,0
3,77,10,4,2,2009,15,40,0
3,18796,6,9,3,2011,18,0,0
2,959,10,11,12,2012,18,56,0
2,17347,4,9,2,2010,10,15,0
7,323,9,5,4,2015,20,30,0
4,21764,2,3,4,2003,6,30,0
2,9329,4,28,4,2009,12,10,0
4,17051,6,6,9,2012,2,50,0
2,125,2,7,1,2014,13,0,0
2,9632,6,10,12,2013,12,0,0
2,7313,5,18,2,2003,12,20,0
3,548,10,18,5,2011,7,40,0
2,9719,4,22,1,2008,12,10,0
6,125,2,19,5,2012,7,40,0
6,2311,5,4,10,2003,0,1,0
3,469,9,19,5,2010,23,15,0
7,1914,10,24,8,2003,15,0,0
3,2821,2,9,3,2011,18,30,0
3,9060,9,22,12,2004,18,0,0
3,14559,8,22,1,2003,22,0,0
3,1287,2,3,11,2010,14,5,0
5,12576,3,27,7,2012,17,0,0
4,1136,4,19,2,2009,21,15,0
7,1668,2,22,10,2006,10,30,0
2,1879,3,23,12,2008,22,40,0
6,2880,3,6,9,2014,2,40,0
4,1379,1,5,5,2011,22,0,0
7,1954,10,12,1,2003,17,27,0
4,223,10,15,7,2010,23,24,0
7,7039,1,21,10,2007,21,15,0
1,15120,2,8,8,2005,14,40,0
7,1692,6,7,4,2013,15,0,0
2,125,2,22,2,2011,7,50,0
1,2062,5,22,3,2010,18,30,0
3,11269,3,12,11,2008,13,20,0
2,3954,6,26,5,2009,19,31,0
1,2718,6,11,1,2010,12,16,0
1,223,10,26,5,2008,13,45,0
4,2909,2,16,10,2008,7,25,0
4,2442,8,1,7,2010,15,24,0
7,2459,5,6,10,2013,18,30,0
3,158,2,1,4,2009,13,0,0
5,704,2,10,8,2012,9,21,0
2,7366,2,29,10,2013,16,45,0
6,7943,1,9,8,2014,16,15,0
2,307,3,1,4,2003,18,35,0
3,945,6,14,6,2006,14,30,0
5,14666,9,11,8,2006,18,0,0
4,142,1,11,3,2010,11,30,0
3,821,10,15,11,2006,3,46,0
6,323,9,24,1,2004,16,0,0
5,530,8,12,12,2014,14,15,0
7,4601,1,10,8,2014,8,30,0
5,15487,7,29,5,2009,0,1,0
1,1130,2,17,2,2014,23,48,0
3,476,9,18,2,2015,17,30,0
4,4156,4,29,10,2009,23,0,0
1,734,9,11,5,2015,8,0,0
1,2080,2,1,3,2004,1,20,0
5,15362,4,23,2,2007,14,30,0
1,8954,4,15,9,2014,14,51,0
1,1950,2,5,8,2013,22,23,0
7,7662,5,11,1,2015,16,34,0
5,4478,4,5,5,2006,12,0,0
6,291,4,26,7,2003,12,5,0
4,4572,5,10,3,2005,19,20,0
3,1103,5,31,3,2004,14,25,0
2,2165,9,15,11,2011,13,30,0
5,17795,9,20,4,2012,23,30,0
5,2910,1,26,8,2011,7,30,0
7,1975,2,9,5,2010,17,20,0
6,19622,7,1,11,2008,18,0,0
2,6370,6,23,1,2007,16,0,0
6,10527,8,22,5,2010,12,25,0
4,9247,8,16,4,2009,8,0,0
7,1907,5,5,10,2003,2,14,0
3,1595,9,2,9,2009,6,40,0
6,6926,4,7,3,2009,15,42,0
7,435,10,20,6,2010,0,1,0
2,8070,3,1,11,2011,15,0,0
5,4268,1,6,5,2005,13,0,0
3,11899,1,16,4,2008,1,0,0
5,2601,3,5,11,2010,18,30,0
2,7138,9,29,4,2003,19,39,0
2,13001,9,30,4,2013,18,15,0
5,10301,7,2,5,2003,14,8,0
4,36,2,3,4,2003,13,45,0
2,125,2,20,2,2007,6,10,0
3,4888,3,23,1,2013,14,40,0
5,11215,7,2,10,2009,9,15,0
5,125,2,10,1,2003,23,0,0
5,710,8,4,6,2010,18,6,0
2,10904,6,21,7,2009,23,0,0
7,4654,2,8,2,2015,19,20,0
7,779,2,19,11,2006,0,1,0
2,692,4,15,9,2009,16,32,0
4,630,1,12,6,2008,19,30,0
3,1554,2,18,2,2015,22,10,0
2,855,4,27,11,2012,12,0,0
1,4095,7,15,10,2012,17,41,0
3,4037,4,23,1,2008,22,50,0
2,7441,7,2,10,2012,15,0,0
1,3846,5,6,1,2014,8,14,0
4,1213,4,11,2,2010,17,10,0
7,1393,10,18,11,2012,20,7,0
3,3792,3,16,10,2013,20,38,0
1,8954,4,27,9,2004,7,23,0
2,2889,10,1,6,2010,19,55,0
2,5356,2,19,3,2013,14,50,0
6,3375,5,28,7,2012,21,50,0
2,2332,2,10,6,2003,14,30,0
5,403,7,23,8,2013,11,0,0
6,70,10,24,8,2013,18,30,0
2,1259,8,23,8,2011,14,30,0
1,13632,9,10,5,2004,5,15,0
3,21087,3,12,1,2005,23,33,0
6,4583,2,26,2,2005,2,0,0
3,48,2,8,1,2003,15,0,0
6,9376,2,4,10,2014,22,30,0
5,9073,4,3,6,2011,8,0,0
6,9020,9,24,1,2009,9,0,0
6,904,5,26,7,2014,21,45,0
2,14930,3,15,10,2013,0,49,0
6,2641,4,5,5,2012,16,13,0
5,3270,7,26,1,2007,7,0,0
7,957,2,7,10,2007,13,31,0
2,534,4,3,2,2015,9,0,0
7,11804,1,8,3,2009,9,0,0
1,6691,6,10,11,2008,21,20,0
3,19269,4,30,6,2010,1,40,0
5,1924,1,11,1,2013,11,0,0
2,8326,5,8,3,2005,8,0,0
1,2835,10,18,10,2010,2,0,0
6,15373,1,22,10,2005,21,30,0
7,4272,7,31,7,2011,3,45,0
1,1056,2,28,5,2012,14,7,0
3,12194,1,18,2,2009,18,0,0
7,3258,6,6,5,2012,16,0,0
1,11104,9,26,10,2009,9,29,0
7,6159,4,1,6,2003,0,1,0
2,7510,3,30,10,2012,20,11,0
3,1786,8,5,4,2006,13,30,0
2,125,2,27,6,2006,13,43,0
4,11945,6,17,4,2014,12,53,0
2,22821,3,28,10,2003,16,25,0
7,1403,4,28,7,2013,17,10,0
5,4592,9,12,11,2004,18,0,0
3,3938,8,9,8,2006,19,55,0
2,16375,9,13,4,2004,13,30,0
3,1954,10,27,11,2013,12,50,0
1,952,2,17,4,2006,20,30,0
1,3212,1,23,7,2012,13,0,0
2,6995,3,25,11,2008,0,31,0
4,7225,9,24,6,2004,17,20,0
6,6536,3,17,11,2007,22,30,0
4,5166,7,9,1,2003,2,0,0
5,644,3,23,3,2007,21,55,0
4,9121,9,17,4,2003,18,0,0
2,2356,5,15,11,2011,5,50,0
3,10892,8,28,7,2010,22,15,0
2,8164,4,4,3,2003,19,13,0
7,1121,10,16,11,2008,4,48,0
2,6931,4,19,8,2003,16,0,0
4,8359,6,30,4,2009,7,0,0
2,6042,3,29,5,2012,4,23,0
4,435,10,29,4,2004,21,45,0
4,156,2,5,2,2015,14,10,0
7,468,2,27,12,2009,22,22,0
7,385,3,14,7,2013,15,45,0
6,326,2,5,11,2005,12,15,0
5,1680,5,9,1,2004,12,35,0
7,5435,9,26,1,2003,12,0,0
5,1153,4,22,2,2013,15,6,0
1,4981,9,22,12,2003,22,0,0
2,6269,4,9,8,2005,10,0,0
2,451,2,14,6,2011,22,41,0
4,5466,8,2,10,2003,0,30,0
4,9465,5,10,6,2004,17,51,0
7,17690,1,20,5,2012,15,30,0
1,4703,1,14,4,2008,13,45,0
1,2811,1,9,1,2012,14,45,0
6,139,2,23,2,2008,0,1,0
2,1091,10,24,11,2009,22,30,0
3,7785,7,5,2,2014,23,30,0
4,5481,4,1,12,2011,11,11,0
7,7085,4,28,1,2007,16,30,0
1,2385,4,10,12,2007,14,0,0
6,22982,8,12,7,2003,20,30,0
5,1790,1,23,9,2005,15,0,0
2,2751,8,27,11,2012,20,44,0
5,1306,2,21,10,2011,22,0,0
6,8203,3,27,12,2014,9,0,0
5,4581,9,4,11,2005,0,1,0
4,359,10,20,3,2014,11,23,0
2,1970,5,15,11,2005,21,0,0
4,4617,3,20,2,2003,22,38,0
4,125,2,10,3,2011,1,55,0
4,11,10,3,9,2009,15,30,0
3,1790,1,28,5,2008,11,15,0
5,98,4,24,2,2006,7,0,0
5,118,2,27,6,2014,16,45,0
7,2272,9,17,11,2013,11,30,0
1,9072,4,16,5,2011,19,0,0
6,2504,3,12,2,2005,22,30,0
2,7237,8,2,10,2012,2,45,0
4,5364,5,29,7,2010,19,0,0
3,98,4,26,11,2003,15,43,0
2,3175,7,27,11,2007,20,0,0
3,16435,4,4,2,2004,11,50,0
1,5205,7,2,10,2006,8,0,0
2,11738,9,6,3,2012,11,0,0
2,1653,3,23,3,2010,16,35,0
7,4575,3,12,1,2003,0,1,0
7,21784,10,29,6,2003,17,20,0
7,2372,5,18,7,2010,2,50,0
3,471,9,28,4,2004,19,30,0
2,4320,1,19,8,2008,20,30,0
2,138,10,14,4,2009,9,58,0
6,19166,9,20,9,2003,3,30,0
1,10390,7,10,1,2005,11,0,0
3,9154,7,12,1,2011,15,0,0
6,13749,3,7,5,2005,10,0,0
1,1,5,17,3,2014,6,25,0
4,4999,8,10,1,2013,23,0,0
1,10293,9,2,2,2009,18,0,0
2,2544,4,17,8,2004,23,30,0
5,2904,2,29,7,2011,17,15,0
4,11725,3,11,8,2005,17,0,0
4,8930,5,9,3,2006,8,25,0
7,1912,1,5,4,2015,11,0,0
4,6170,7,30,12,2010,3,25,0
5,1858,6,27,7,2012,19,45,0
6,838,5,7,3,2009,2,8,0
2,1221,2,3,10,2006,12,0,0
2,3665,4,25,11,2008,12,19,0
5,6294,1,21,3,2008,9,30,0
3,3396,10,18,10,2006,14,18,0
2,176,1,8,2,2005,15,45,0
6,8927,1,25,12,2004,13,0,0
5,7481,3,30,11,2007,13,45,0
5,898,2,19,9,2014,22,30,0
5,5044,9,4,4,2008,16,20,0
7,5164,4,11,9,2011,18,0,0
3,15774,9,16,4,2008,9,0,0
3,80,1,1,4,2015,13,0,0
7,594,8,15,1,2006,22,0,0
5,4185,7,18,9,2009,17,50,0
4,4809,8,30,10,2014,17,0,0
2,4052,4,15,4,2014,0,1,0
3,563,6,18,2,2009,9,0,0
4,6661,3,17,11,2005,10,17,0
7,4535,1,25,4,2010,15,0,0
7,125,2,21,11,2010,21,0,0
4,6567,8,13,1,2005,21,0,0
2,2271,10,8,7,2003,8,49,0
5,22749,9,12,12,2003,1,0,0
6,22037,3,28,6,2003,15,0,0
6,10044,5,18,10,2014,7,0,0
3,560,8,29,11,2006,3,29,0
3,1580,10,14,10,2009,13,32,0
1,3671,2,22,8,2005,17,25,0
4,11600,9,22,9,2011,18,10,0
5,408,2,28,11,2003,12,0,0
3,263,1,19,9,2012,13,14,0
3,3629,4,6,10,2010,16,18,0
7,2341,5,14,12,2014,10,9,0
7,242,10,31,1,2010,14,2,0
5,1012,4,30,5,2014,2,15,0
2,3796,3,8,7,2008,14,0,0
6,125,2,28,8,2010,19,0,0
7,10789,4,15,6,2003,15,40,0
6,2945,3,16,12,2006,2,8,0
1,501,4,22,12,2003,15,58,0
2,166,10,27,5,2014,16,20,0
2,10085,3,14,12,2010,11,30,0
2,12979,9,18,3,2003,6,30,0
2,2869,10,2,9,2014,16,55,0
3,9813,5,30,4,2014,17,45,0
1,5969,5,23,1,2006,10,8,0
2,4301,2,27,7,2010,11,0,0
4,9400,5,25,12,2008,8,0,0
4,323,9,20,10,2005,18,30,0
1,9673,8,22,12,2003,11,30,0
6,58,10,21,2,2009,13,55,0
5,4534,5,18,5,2012,17,15,0
3,15767,4,21,9,2011,0,1,0
3,6695,5,31,3,2004,9,15,0
4,501,4,17,4,2003,18,27,0
3,1562,9,18,4,2007,18,16,0
4,3618,2,15,6,2006,9,33,0
4,10296,5,23,1,2003,10,0,0
5,10977,7,11,8,2006,23,0,0
4,366,10,14,7,2011,3,30,0
6,4798,3,13,12,2008,16,38,0
4,3419,8,15,4,2004,17,30,0
7,2101,1,23,3,2008,16,30,0
4,1393,10,2,10,2014,12,0,0
7,554,10,14,12,2003,12,16,0
7,5842,4,3,12,2006,0,1,0
1,213,4,6,8,2007,13,7,0
2,125,2,3,4,2007,0,1,0
5,1620,10,14,11,2014,23,43,0
2,2041,10,19,10,2010,12,35,0
3,3796,3,11,1,2012,5,0,0
6,501,4,30,6,2012,13,20,0
7,7151,7,8,4,2007,4,57,0
5,4029,3,21,3,2008,7,45,0
6,1263,2,7,3,2009,2,55,0
6,3216,1,21,4,2012,19,14,0
4,1223,5,18,10,2012,22,3,0
2,144,4,9,8,2005,9,11,0
3,3694,8,25,7,2007,11,40,0
3,1399,10,10,12,2003,11,15,0
5,14054,1,4,10,2013,11,0,0
2,1275,10,1,11,2005,12,0,0
6,829,1,1,11,2008,11,0,0
6,2214,1,24,1,2004,10,30,0
3,359,10,6,8,2014,20,30,0
1,2490,3,18,4,2011,9,30,0
5,125,2,5,11,2010,13,12,0
3,7506,5,25,1,2006,8,40,0
4,11928,3,9,8,2012,10,45,0
7,11221,8,3,6,2012,14,0,0
6,8120,3,25,2,2006,23,15,0
4,290,1,3,4,2003,1,0,0
6,3926,2,16,6,2012,19,24,0
2,3738,8,25,7,2006,22,32,0
6,1273,10,5,6,2010,13,15,0
3,182,4,13,5,2015,10,30,0
1,980,10,13,12,2010,0,8,0
5,22162,5,21,3,2003,3,52,0
2,125,2,22,3,2011,5,30,0
5,176,1,17,10,2014,18,31,0
1,9030,4,8,1,2007,10,30,0
3,2889,10,24,12,2003,0,50,0
7,1406,4,19,10,2008,1,0,0
5,12624,9,9,3,2012,0,10,0
7,13182,9,7,5,2006,21,50,0
6,3131,10,17,12,2005,22,45,0
5,64,4,11,3,2005,16,10,0
2,2911,10,20,9,2005,17,5,0
5,501,4,2,6,2006,16,53,0
